book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
DRtoF,c05,July 1863,Farmer let us stay in his barn tonight.,original,1,1,0,1
DRtoF,c05,July 1863,A farmer allowed us to spend the night in his barn.,aug_1,1,1,0,1
DRtoF,c05,July 1863,Tonight a farmer let us shelter in his barn.,aug_2,1,1,0,1
DRtoF,c01,January 1863,"There’d be another Conductor to take us on tonight, they said.",original,0,1,0,1
DRtoF,c01,January 1863,They told us another Conductor would be coming to take us on that night.,aug_1,0,1,0,1
DRtoF,c01,January 1863,"Another Conductor was set to take us onward tonight, they said.",aug_2,0,1,0,1
DRtoF,c02,April 1863,We made it to Albany.,original,0,1,0,1
DRtoF,c02,April 1863,We managed to reach Albany.,aug_1,0,1,0,1
DRtoF,c02,April 1863,Albany — we finally made it there.,aug_2,0,1,0,1
DRtoF,c03,May 1863,Her mama and papa came up from New York after the American Revolution.,original,1,1,0,1
DRtoF,c03,May 1863,Her mother and father came up from New York following the American Revolution.,aug_1,1,1,0,1
DRtoF,c03,May 1863,"After the American Revolution, her mama and papa moved up from New York.",aug_2,1,1,0,1
DRtoF,c11,January 1864,"I can’t believe it, but she’s in Toronto, staying with Missus Blunt.",original,1,1,0,1
DRtoF,c11,January 1864,"I can hardly believe it, but she is in Toronto, staying at Missus Blunt's.",aug_1,1,1,0,1
DRtoF,c11,January 1864,She's in Toronto staying with Missus Blunt — I still can't believe it.,aug_2,1,1,0,1
DRtoF,c01,January 1863,Wonder what’s happening to everybody back at our plantation?,original,0,1,1,1
DRtoF,c01,January 1863,I wonder what is going on with everyone back at our plantation.,aug_1,0,1,1,1
DRtoF,c01,January 1863,What could be happening to all the folks we left behind at the plantation?,aug_2,0,1,1,1
DRtoF,c05,July 1863,"I thought she’d scold us for being so uppity, she being white, but she just greeted us as nicely as you could want and said she’d go fetch Mister Frost.",original,0,1,0,1
DRtoF,c05,July 1863,"I expected her to scold us for being so uppity, her being white, but she greeted us as warmly as anyone could and said she'd go fetch Mister Frost.",aug_1,0,1,0,1
DRtoF,c05,July 1863,"She was white, so I thought she'd be cross with us for being so uppity, but she welcomed us as nicely as could be and went off to fetch Mister Frost.",aug_2,0,1,0,1
DRtoF,c01,January 1863,I’ll see the ocean!,original,0,1,0,1
DRtoF,c01,January 1863,I am going to see the ocean!,aug_1,0,1,0,1
DRtoF,c01,January 1863,The ocean — I'll actually get to see it!,aug_2,0,1,0,1
DRtoF,c11,January 1864,Papa should be in Toronto by now.,original,1,1,0,1
DRtoF,c11,January 1864,Papa ought to be in Toronto by now.,aug_1,1,1,0,1
DRtoF,c11,January 1864,"By now, Papa should have arrived in Toronto.",aug_2,1,1,0,1
DRtoF,c02,April 1863,"The man’s wife came out to the barn today with new clothes for all of us, so we’ll look respectable when we get to Canada.",original,0,1,0,1
DRtoF,c02,April 1863,"Today the man's wife brought new clothes out to the barn for all of us, so we would look respectable on arriving in Canada.",aug_1,0,1,0,1
DRtoF,c02,April 1863,"The man's wife came out to the barn with fresh clothes for everyone, wanting us to look respectable when we reached Canada.",aug_2,0,1,0,1
DRtoF,c01,January 1863,I asked if there were any snakes there and the man just laughed.,original,0,1,1,1
DRtoF,c01,January 1863,"I wondered aloud if there were snakes there, and the man just laughed at me.",aug_1,0,1,1,1
