book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
FitS,4,October 1815,The sun shone and as we sat in the boat it seemed we had arrived in Paradise.,original,0,1,1,1
FitS,4,October 1815,"The sun was shining and as we sat in the boat, it felt as though we had reached Paradise.",aug_1,0,1,1,1
FitS,4,October 1815,"Sitting in the boat under the bright sun, it seemed as if we had arrived in Paradise itself.",aug_2,0,1,1,1
FitS,5,November 1815,The settlers here dance what is called a Red River jig.,original,0,1,1,1
FitS,5,November 1815,Here the settlers dance a dance they call the Red River jig.,aug_1,0,1,1,1
FitS,5,November 1815,What the settlers here do is dance something known as a Red River jig.,aug_2,0,1,1,1
FitS,15,September 1816,"We had a party for Robbie today and all his friends from the settlement came, as did the Indian boys.",original,0,1,1,1
FitS,15,September 1816,"Today we threw a party for Robbie and all his settlement friends came, along with the Indian boys.",aug_1,0,1,1,1
FitS,15,September 1816,"We celebrated Robbie today and his friends from the settlement all showed up, as did the Indian boys.",aug_2,0,1,1,1
FitS,5,November 1815,"It is heartbreaking news that we must spend an entire winter away, and that it will only be in the spring that we can return, to begin our new lives here at The Forks.",original,0,1,1,1
FitS,5,November 1815,"It is devastating news that we must remain away for a whole winter, and that only in the spring can we return to begin our new lives at The Forks.",aug_1,0,1,1,1
FitS,5,November 1815,We must spend an entire winter away — heartbreaking as that is — and it will not be until spring that we can come back to start our new lives at The Forks.,aug_2,0,1,1,1
FitS,3,September 1815,"They go for hours at a time without a break, in a feat of endurance I would not have credited had I not seen it with my own eyes.",original,0,1,1,1
FitS,3,September 1815,"They paddle on for hours without any rest, a feat of endurance I would never have believed had I not witnessed it myself.",aug_1,0,1,1,1
FitS,3,September 1815,"Had I not seen it with my own eyes, I never would have believed anyone could go for hours at a stretch without a break like that.",aug_2,0,1,1,1
FitS,11,May 1816,We moved into our own cabin a week ago and have been so busy that I simply go to sleep at night before I can pick up my pen.,original,0,1,1,1
FitS,11,May 1816,We moved into our own cabin a week ago and life has been so hectic that I fall asleep each night before I can pick up my pen.,aug_1,0,1,1,1
FitS,11,May 1816,"A week ago we settled into our own cabin, and we have kept so busy that I simply cannot stay awake long enough to write at night.",aug_2,0,1,1,1
FitS,5,November 1815,"Our first night spent here at The Forks, or Colony Gardens as the first group of settlers call it, was happy enough.",original,0,1,1,1
FitS,5,November 1815,"Our first night here at The Forks — or Colony Gardens, as the original settlers call it — was a happy one.",aug_1,0,1,1,1
FitS,5,November 1815,"Happy enough was our first night spent at The Forks, which the first settlers also call Colony Gardens.",aug_2,0,1,1,1
FitS,13,July 1816,Father and the other men often meet and talk after camp is set up about what to do once we get to Jack River.,original,1,1,1,1
FitS,13,July 1816,"After setting up camp, Father and the other men often gather to discuss what they will do once they reach Jack River.",aug_1,1,1,1,1
FitS,13,July 1816,"Father and the other men tend to meet and talk after camp is ready, planning what to do when they get to Jack River.",aug_2,1,1,1,1
FitS,12,June 1816,At this point it looks likely that we will be returning to Scotland.,original,0,1,0,1
FitS,12,June 1816,Things are looking as though we will end up going back to Scotland.,aug_1,0,1,0,1
FitS,12,June 1816,"It seems increasingly likely, at this point, that we shall return to Scotland.",aug_2,0,1,0,1
FitS,11,May 1816,As we walked the prairie seemed to explode in colour around us.,original,0,1,0,1
FitS,11,May 1816,"As we walked, the prairie burst into colour all around us.",aug_1,0,1,0,1
FitS,11,May 1816,The prairie seemed to erupt in a blaze of colour as we moved through it.,aug_2,0,1,0,1
FitS,7,January 1816,The band seemed to decide it was time for some fun.,original,0,1,0,1
FitS,7,January 1816,The band appeared to decide it was time to have a bit of fun.,aug_1,0,1,0,1
FitS,7,January 1816,It seemed the band had made up their minds that some fun was in order.,aug_2,0,1,0,1
FitS,15,September 1816,"Then we hurried after Bends Fingers to their encampment, which is through a beautiful stand of tall pine trees and low bushes.",original,1,1,0,1
FitS,15,September 1816,"Then we hurried to follow Bends Fingers to their encampment, set among a lovely stand of tall pines and low bushes.",aug_1,1,1,0,1
FitS,15,September 1816,"We rushed after Bends Fingers toward their encampment, which sits behind a beautiful grove of tall pine trees and low shrubs.",aug_2,1,1,0,1
FitS,13,July 1816,We are almost there.,original,1,1,0,1
FitS,13,July 1816,We are nearly there now.,aug_1,1,1,0,1
FitS,13,July 1816,We're just about there.,aug_2,1,1,0,1
FitS,4,October 1815,"We are still in tents, as there is no room for all of us in the buildings, but tonight we are eating fresh fish, and tomorrow we can wash our clothes!",original,0,1,0,1
FitS,4,October 1815,"We are still living in tents since there isn't room for everyone in the buildings, but tonight we have fresh fish to eat and tomorrow we can finally wash our clothes!",aug_1,0,1,0,1
FitS,4,October 1815,"There's no room for all of us in the buildings so we remain in tents, but tonight we eat fresh fish and tomorrow our clothes get a wash!",aug_2,0,1,0,1
FitS,2,August 1815,We are held fast by the ice.,original,0,1,0,1
FitS,2,August 1815,The ice has us locked in place.,aug_1,0,1,0,1
FitS,2,August 1815,We cannot move — the ice holds us fast.,aug_2,0,1,0,1
FitS,9,March 1816,"But the storm came on so quickly it soon became apparent they would never reach camp by nightfall, or rather the storm would reach them before they reached camp.",original,0,1,0,1
FitS,9,March 1816,The storm came on so fast that it soon became clear they would never make it back to camp before nightfall — the storm would find them first.,aug_1,0,1,0,1
FitS,9,March 1816,So quickly did the storm descend that it was soon obvious they had no hope of reaching camp by dark; the storm would overtake them first.,aug_2,0,1,0,1
FitS,4,October 1815,"Shrubs and pines give way to majestic old trees: oak, elm, poplar and maple.",original,0,1,0,1
FitS,4,October 1815,"The shrubs and pines give way to grand old trees: oak, elm, poplar, and maple.",aug_1,0,1,0,1
FitS,4,October 1815,"Beyond the shrubs and pines stand majestic old trees — oak, elm, poplar, and maple.",aug_2,0,1,0,1
FitS,1,July 1815,"We imagined owning our own land, giving you children a better life.",original,0,1,0,1
FitS,1,July 1815,We dreamed of owning our own land and giving our children a better life.,aug_1,0,1,0,1
FitS,1,July 1815,"The idea of land of our own, and a better life for our children, was what we imagined.",aug_2,0,1,0,1
FitS,14,August 1816,We have been in the New Land for one year.,original,1,1,0,1
FitS,14,August 1816,A full year has now passed since we arrived in the New Land.,aug_1,1,1,0,1
FitS,14,August 1816,We have been here in the New Land for an entire year.,aug_2,1,1,0,1
FitS,1,July 1815,She was so excited as we packed.,original,0,1,0,1
FitS,1,July 1815,She was brimming with excitement as we packed up.,aug_1,0,1,0,1
FitS,1,July 1815,The packing filled her with such excitement.,aug_2,0,1,0,1
FitS,2,August 1815,"There is a hectic hustle and bustle everywhere, as the Hudson’s Bay Company employees stack the animal pelts so they can be loaded onto the schooner, which will take them to the 
Prince of Wales
 for its return voyage.",original,1,1,0,1
FitS,2,August 1815,"All around there is a frantic bustle as Hudson's Bay Company workers stack animal pelts to be loaded onto the schooner, which will carry them to the Prince of Wales for its journey back.",aug_1,1,1,0,1
FitS,2,August 1815,"The Hudson's Bay Company employees are stacking pelts everywhere in a frenzy of activity, getting them ready to load onto the schooner bound for the Prince of Wales on its return voyage.",aug_2,1,1,0,1
FitS,5,November 1815,"Robbie and I were the fortunate ones, our belongings being on the Red River carts travelling behind us with those on foot.",original,0,1,0,1
FitS,5,November 1815,Robbie and I were the lucky ones — our belongings rode behind us on the Red River carts with those travelling on foot.,aug_1,0,1,0,1
FitS,5,November 1815,"We were fortunate, Robbie and I, since our things were carried on the Red River carts that followed behind those walking.",aug_2,0,1,0,1
FitS,13,July 1816,"The first order of business, he says, is to build little cabins for the winter, as we certainly do not want to spend it in tents.",original,0,1,0,1
FitS,13,July 1816,"He says the first thing to do is put up small cabins before winter, since none of us want to be stuck in tents through the cold months.",aug_1,0,1,0,1
FitS,13,July 1816,"Building little cabins for the winter is the first priority, he says — nobody wants to spend the cold months in tents.",aug_2,0,1,0,1
FitS,3,September 1815,"She has a brother already in the New World, although she says little about him.",original,1,1,0,1
FitS,3,September 1815,"She has a brother who is already living in the New World, though she rarely speaks of him.",aug_1,1,1,0,1
FitS,3,September 1815,"Although she says very little about him, she has a brother already settled in the New World.",aug_2,1,1,0,1
FitS,1,July 1815,“One day we will own our own land.,original,0,1,0,1
FitS,1,July 1815,"""Someday we will have land that is our own.""",aug_1,0,1,0,1
