book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
NbutC,ch6,"March 3rd, 1784",I’ve always loved maple syrup making time.,original,1,1,0,1
NbutC,ch6,"March 3rd, 1784",Maple syrup making time has always been my favourite.,aug_1,1,1,0,1
NbutC,ch6,"March 3rd, 1784",I have always had a fondness for the maple syrup making season.,aug_2,1,1,0,1
NbutC,ch1,"October 6th, 1783",Thank goodness John is with us or we would have lost our way for certain.,original,1,1,0,1
NbutC,ch1,"October 6th, 1783","It is a good thing John is with us, otherwise we would surely have lost our way.",aug_1,1,1,0,1
NbutC,ch1,"October 6th, 1783",Without John here we would certainly have gone astray — thank goodness he came.,aug_2,1,1,0,1
NbutC,ch1,"October 6th, 1783","One old lady passed me by just now and muttered “Tory cowards” under her breath, but not so much under her breath that I could not hear.",original,0,1,1,1
NbutC,ch1,"October 6th, 1783","An old lady walked past me just now and grumbled ""Tory cowards"" under her breath — though not quietly enough that I missed it.",aug_1,0,1,1,1
NbutC,ch1,"October 6th, 1783","Just now an old lady went by muttering ""Tory cowards,"" not quite under her breath enough to keep me from hearing.",aug_2,0,1,1,1
NbutC,ch12,"September 6th, 1784","I could not stop my tongue from wagging, asking him how Hannah was, did her family have their cabin built yet, and a thousand other questions, not to mention, how did he ever get a horse and from where?",original,0,1,0,1
NbutC,ch12,"September 6th, 1784","I couldn't stop myself from peppering him with questions — how was Hannah, had her family finished building their cabin yet, and above all, where on earth did he get a horse?",aug_1,0,1,0,1
NbutC,ch12,"September 6th, 1784","My tongue ran away with me as I asked after Hannah, whether her family's cabin was done, and a hundred other things, not least of all how he had come by a horse.",aug_2,0,1,0,1
NbutC,ch11,"August 2nd, 1784","Just imagine, next spring we will have lilacs in the doorway again.",original,0,1,0,1
NbutC,ch11,"August 2nd, 1784",To think — come next spring we will have lilacs blooming in the doorway once more.,aug_1,0,1,0,1
NbutC,ch11,"August 2nd, 1784",Next spring we shall have lilacs in the doorway again — just imagine it.,aug_2,0,1,0,1
NbutC,ch10,"July 2nd, 1784","Angus and Duncan will help us get our place built, then they will build shanties of their own on their properties.",original,1,1,0,1
NbutC,ch10,"July 2nd, 1784",Angus and Duncan will lend us a hand getting our place built before turning to put up their own shanties on their land.,aug_1,1,1,0,1
NbutC,ch10,"July 2nd, 1784","Once they have helped us build our place, Angus and Duncan will go on to build their own shanties on their properties.",aug_2,1,1,0,1
NbutC,ch1,"October 6th, 1783","Oh, how I hope we can travel up to Canada together.",original,0,1,0,1
NbutC,ch1,"October 6th, 1783",How I hope we will be able to travel up to Canada together.,aug_1,0,1,0,1
NbutC,ch1,"October 6th, 1783",My greatest hope is that we can all make the journey up to Canada as one.,aug_2,0,1,0,1
NbutC,ch12,"September 6th, 1784","Best of all, Hannah and her family brought their tent and are staying over.",original,0,1,0,1
NbutC,ch12,"September 6th, 1784",The best part of all is that Hannah and her family brought their tent and are spending the night.,aug_1,0,1,0,1
NbutC,ch12,"September 6th, 1784",Hannah and her family brought their tent and are staying over — and that is the best news of everything.,aug_2,0,1,0,1
NbutC,ch2,"November 1st, 1783","Mrs. Livingstone, whose family lives just a few cabins away, came over this morning with a crock of yeast starter so that we can make our own bread.",original,1,1,0,1
NbutC,ch2,"November 1st, 1783","This morning Mrs. Livingstone, whose family lives just a few cabins down, stopped by with a crock of yeast starter so we can bake our own bread.",aug_1,1,1,0,1
NbutC,ch2,"November 1st, 1783","A few cabins away lives Mrs. Livingstone's family, and she came over this morning carrying a crock of yeast starter for us to use for our bread.",aug_2,1,1,0,1
NbutC,ch6,"March 3rd, 1784","Now, instead of grumbling, people are beginning to make plans and even look forward to our journey upriver.",original,0,1,0,1
NbutC,ch6,"March 3rd, 1784","People have stopped grumbling and started making plans, even looking forward to the journey upriver.",aug_1,0,1,0,1
NbutC,ch6,"March 3rd, 1784","Rather than grumbling as before, people are now making plans and even finding themselves eager for the upriver journey.",aug_2,0,1,0,1
NbutC,ch12,"September 6th, 1784",The men were all laughing and shouting to each other as they began to gather up all the brushwood and small trees that Father and Angus and Duncan had cut down.,original,0,1,0,1
NbutC,ch12,"September 6th, 1784","The men laughed and called out to one another as they set about gathering up all the brushwood and small trees that Father, Angus, and Duncan had cut.",aug_1,0,1,0,1
NbutC,ch12,"September 6th, 1784","Laughing and shouting to each other, the men began collecting the brushwood and small trees that Father and Angus and Duncan had felled.",aug_2,0,1,0,1
NbutC,ch10,"July 2nd, 1784",I hope Father will put in windows.,original,0,1,0,1
NbutC,ch10,"July 2nd, 1784",I am hoping Father will put windows in.,aug_1,0,1,0,1
NbutC,ch10,"July 2nd, 1784",Windows — I do hope Father includes those.,aug_2,0,1,0,1
NbutC,ch1,"October 6th, 1783",They are going to settle in a big town in Québec called Montréal.,original,1,1,0,1
NbutC,ch1,"October 6th, 1783",They plan to settle in a large town in Québec by the name of Montréal.,aug_1,1,1,0,1
NbutC,ch1,"October 6th, 1783","Their destination is Montréal, a big town in Québec.",aug_2,1,1,0,1
NbutC,ch13,"October 3rd, 1784",I knew that many of the soldiers’ families have been coming up during this past summer and I supposed his might as well.,original,1,1,0,1
NbutC,ch13,"October 3rd, 1784","I had known that many soldiers' families had been arriving throughout the summer, so I assumed his had come up as well.",aug_1,1,1,0,1
NbutC,ch13,"October 3rd, 1784","Knowing that soldiers' families had been making their way up all summer, I figured his family must have done the same.",aug_2,1,1,0,1
NbutC,ch8,"May 2nd, 1784","They did give him ammunition, though, so he will be able to hunt.",original,1,1,0,1
NbutC,ch8,"May 2nd, 1784","They did give him ammunition at any rate, so hunting will still be possible for him.",aug_1,1,1,0,1
NbutC,ch8,"May 2nd, 1784","At least they provided him with ammunition, which means he will be able to go out hunting.",aug_2,1,1,0,1
NbutC,ch2,"November 1st, 1783",More good news is that the cabin we have been allotted is very close to the Ross family’s.,original,0,1,0,1
NbutC,ch2,"November 1st, 1783",More good news: the cabin we have been given is very near the Ross family's.,aug_1,0,1,0,1
NbutC,ch2,"November 1st, 1783","To add to the good news, the cabin assigned to us sits very close to where the Ross family is.",aug_2,0,1,0,1
NbutC,ch3,"December 1st, 1783","There are quite a few Scottish families here, so Hannah and I and the other Scottish children will be going singing at the doors of every house, just as we used to do in Albany.",original,0,1,0,1
NbutC,ch3,"December 1st, 1783","Since there are quite a few Scottish families here, Hannah and I and the other Scottish children will go from door to door singing, just as we did back in Albany.",aug_1,0,1,0,1
NbutC,ch3,"December 1st, 1783","There being a good number of Scottish families about, Hannah and I and the other Scottish children plan to go singing at every house, the way we always did in Albany.",aug_2,0,1,0,1
NbutC,ch5,"February 1st, 1784",My life has settled down into such a routine — sometimes I even forget that I haven’t lived here forever.,original,0,1,0,1
NbutC,ch5,"February 1st, 1784",My days have fallen into such a steady routine that I sometimes forget I have not always lived here.,aug_1,0,1,0,1
NbutC,ch5,"February 1st, 1784",Life here has become so routine that I can almost believe I have never lived anywhere else.,aug_2,0,1,0,1
NbutC,ch1,"October 6th, 1783","There are five sailors manning the boat: four to row and one to steer, but the sailors are happy because the wind is so strong that they can run with the sail up and do not have to row.",original,0,1,0,1
NbutC,ch1,"October 6th, 1783","Five sailors man the boat — four at the oars, one at the helm — but they are in good spirits because the wind is strong enough to fill the sail and spare them from rowing.",aug_1,0,1,0,1
