book_name,chapter_id,date,sentence,version,neutral,positive,negative,immigration
SofS,c07,"October 2, 1847",I wonder if it will sizzle.,original,0,1,0,0
SofS,c07,"October 2, 1847",I find myself wondering whether it will sizzle.,aug_1,0,1,0,0
SofS,c07,"October 2, 1847","Will it sizzle, I wonder?",aug_2,0,1,0,0
SofS,c07,"October 2, 1847",He loved to tell stories on Hallow Eve about the spirit world and the fires that warmed wandering souls.,original,0,1,0,0
SofS,c07,"October 2, 1847",He loved telling tales on Hallow Eve about the spirit world and the fires that brought warmth to wandering souls.,aug_1,0,1,0,0
SofS,c07,"October 2, 1847",Stories about the spirit world and the fires that warmed lost souls — those were what he loved to tell on Hallow Eve.,aug_2,0,1,0,0
SofS,c04,"July 3, 1847","“Indeed, he did,” I answered, “for he was a good and generous man.” But the second humpback was not like Lusmore.",original,0,1,1,0
SofS,c04,"July 3, 1847","""He was indeed,"" I replied, ""a good and generous man."" But the second humpback was nothing like Lusmore.",aug_1,0,1,1,0
SofS,c04,"July 3, 1847","""Indeed he was,"" I said, ""for he was a kind and generous soul."" The second humpback, however, bore no resemblance to Lusmore.",aug_2,0,1,1,0
SofS,c06,"September 1, 1847","She promises to lend me the book when she has finished reading it, although I think by then that I will already know the whole story!",original,0,1,0,0
SofS,c06,"September 1, 1847","She has promised to lend me the book once she finishes it, though I suspect I will already know the whole story by then!",aug_1,0,1,0,0
SofS,c06,"September 1, 1847",Once she is done reading it she will lend it to me — though I imagine I will have learnt the whole story long before that!,aug_2,0,1,0,0
SofS,c07,"October 2, 1847","I miss them both, especially Patrick’s merry gurgles, which never failed to bring a smile to Ma’s face.",original,0,1,1,0
SofS,c07,"October 2, 1847","I miss them both dearly, and Patrick's cheerful gurgles most of all — they never once failed to make Ma smile.",aug_1,0,1,1,0
SofS,c07,"October 2, 1847","Both of them I miss terribly, but especially Patrick's happy gurgles, which always managed to bring a smile to Ma's face.",aug_2,0,1,1,0
SofS,c07,"October 2, 1847",Mr. Hall spoke at last in a gentle voice and asked me if I wanted him to read the letter to me.,original,0,1,0,0
SofS,c07,"October 2, 1847","At last Mr. Hall spoke, in a quiet and gentle voice, asking whether I would like him to read the letter aloud to me.",aug_1,0,1,0,0
SofS,c07,"October 2, 1847","Mr. Hall finally broke the silence, speaking softly, and asked if he should read the letter to me.",aug_2,0,1,0,0
SofS,c07,"October 2, 1847","She taught Lucy and me some songs with different parts, and when we sang them together, Fanny taking one part and Lucy and I the other, Mrs. Hall declared that we sounded like a choir of angels.",original,0,1,0,0
SofS,c07,"October 2, 1847","She taught Lucy and me songs in parts, and when we sang together — Fanny on one part, Lucy and I on the other — Mrs. Hall said we sounded like a choir of angels.",aug_1,0,1,0,0
SofS,c07,"October 2, 1847","Fanny taught us songs with different parts, and Mrs. Hall declared that the three of us, singing together, were like a proper choir of angels.",aug_2,0,1,0,0
SofS,c05,"August 1, 1847",I smiled as I pictured them and then — I could not help myself — I cried.,original,0,1,1,0
SofS,c05,"August 1, 1847","I smiled at the picture of them in my mind, but then, despite myself, I wept.",aug_1,0,1,1,0
SofS,c05,"August 1, 1847","Imagining them made me smile — and then, before I could stop myself, the tears came.",aug_2,0,1,1,0
SofS,c06,"September 1, 1847",Mrs. Hall is much relieved.,original,1,1,0,0
SofS,c06,"September 1, 1847",The news has brought Mrs. Hall great relief.,aug_1,1,1,0,0
SofS,c06,"September 1, 1847",Mrs. Hall is greatly relieved by it.,aug_2,1,1,0,0
SofS,c08,"November 4, 1847",Before her very eyes he is transformed into the most handsome gentleman she has ever seen.,original,0,1,0,0
SofS,c08,"November 4, 1847",Right before her eyes he is changed into the most handsome gentleman she has ever laid eyes on.,aug_1,0,1,0,0
SofS,c08,"November 4, 1847","She watches as he transforms, before her very eyes, into the handsomest man she has ever seen.",aug_2,0,1,0,0
SofS,c05,"August 1, 1847",She has been told some charitable family will take her in but wishes to stay with the sisters.,original,1,1,0,0
