book_name,chapter_id,entry_id,date,sentence,Positive_score,Positive_pred,Negative_score,Negative_pred,Neutral_score,Neutral_pred,positive,negative,neutral,immigration
SofS,c05,chc05_e19,"August 25, 1847","Tommy’s ma died of the fever on the ship, and he had made up his mind to rely only on himself when he finally landed, alone.",0.66403365,1,0.9392988,1,0.098823704,0,0,1,0,1
SofS,c04,chc04_e1,"July 3, 1847","But then I began to worry that the steamer would sail without me, carrying Da and Michael away to Montreal where I would never find them.",0.78829527,1,0.9363247,1,0.074933246,0,0,1,0,1
SofS,c02,chc02_e16,"May 21, 1847","Many are grumbling that the absence of illness is a miracle, so poor is the food that the shipping company has provided.",0.60359347,1,0.9353433,1,0.1130045,0,0,1,0,1
SofS,c05,chc05_e14,"August 19, 1847","When I am not at the sheds, I help the sisters with new young arrivals from the ships who either reach Montreal as orphans or whose parents are too ill to care for them.",0.7822777,1,0.9307269,1,0.07743632,0,0,1,0,1
SofS,c02,chc02_e14,"May 19, 1847","She dreamt while they waited at Liverpool that she and her babies fell into the ocean and were swallowed up by waves, and that she had clawed her way through the cold water to try to catch them as they dropped like stones into the bottomless sea.",0.54298544,1,0.93035126,1,0.11606527,0,0,1,0,1
SofS,c05,chc05_e14,"August 19, 1847",I ache for my family — what little is left of it.,0.52682114,1,0.9294785,1,0.1392161,0,0,1,0,0
SofS,c02,chc02_e14,"May 19, 1847",There was only darkness quickly followed by the stench of sick and waste as buckets toppled and the awful shaking and shuddering roiled our stomachs.,0.34661984,0,0.9244993,1,0.15900746,0,0,1,0,1
SofS,c03,chc03_e17,"June 23, 1847",Several of the men went to the captain and angrily demanded to know if the government of Quebec planned to keep us anchored in the St. Lawrence River until we all die of either ship’s fever or starvation and thirst.,0.6834833,1,0.9238972,1,0.10516997,0,0,1,0,1
SofS,c03,chc03_e2,"June 3, 1847","He said it would have been better if Thomas had died at home where he could be buried in the ground with a priest to say words over him, instead of being tossed into the ocean like so much refuse.",0.58558655,1,0.9227265,1,0.11560699,0,0,1,0,1
SofS,c06,chc06_e15,"September 27, 1847","Fanny says she knows that he survived his expedition, for how else could he have written about it, but that she holds her breath at every turn to see how he will get out of some fresh new disaster.",0.73291695,1,0.9218206,1,0.10036242,0,1,1,0,1
SofS,c05,chc05_e1,"August 1, 1847","“The wretched souls who survived the ocean voyage are now dying in droves.” To which Mrs. Johnson replied, “Their landlords should be ashamed of themselves for shovelling their problem onto our shores to be cared for by our charity.” I knew for myself that the sheds were filled with many decent people who had never needed any charity until they were forced to watch their loved ones die of hunger.",0.6090257,1,0.9182065,1,0.11585811,0,0,0,0,0
SofS,c03,chc03_e7,"June 11, 1847",I don’t think I could bear it if anything happened to her or if we had to leave her in the sea.,0.5385536,1,0.91751623,1,0.1508839,0,0,0,0,0
SofS,c06,chc06_e15,"September 27, 1847","She said there are many people who are angry that so many Irish have come to Canada, and that so many of them are ill and unable to look after themselves.",0.6408847,1,0.9141335,1,0.117853835,0,0,0,0,0
SofS,c04,chc04_e21,"July 31, 1847","And perhaps it is as well, for if I am left alone in this world — as I fear now that I am in my little bed — I will have to depend on a good reference to find new employment.",0.63290524,1,0.91382587,1,0.12482608,0,0,0,0,0
SofS,c03,chc03_e18,"June 24, 1847","Everyone is in poor spirits, especially as news has come back to us that three children, two women and two men from the ship have died in hospital.",0.78568685,1,0.9130549,1,0.09552326,0,,,,
SofS,c05,chc05_e11,"August 13, 1847",But most who find themselves here are either ill or destitute through no fault of their own and have been reduced to beggary.,0.35614505,0,0.9117962,1,0.18109992,0,,,,
SofS,c06,chc06_e8,"September 15, 1847","Before I knew it, I didn’t feel shy anymore and was telling her everything — how first Patrick and then Ma had died, how Da had fallen ill on the way to Montreal, how I had learned of his passing, until finally all I had left was Michael.",0.7708138,1,0.9105265,1,0.10346611,0,,,,
SofS,c09,chc09_e11,"December 13, 1847","Connor said he had been welcomed and fairly treated when he’d first arrived as an orphan, but soon found himself just one Irish lad among thousands who stood accused of stealing jobs from the people of Montreal and undercutting their wages by agreeing to work for whatever an employer might offer.",0.6638293,1,0.9099824,1,0.1178112,0,,,,
SofS,c07,chc07_e11,"October 19, 1847",Was I doomed forever to be a kinless stranger in this country?,0.3098582,0,0.9094814,1,0.21832709,0,,,,
SofS,c02,chc02_e15,"May 20, 1847","Many were sick during the storm, and none of the waste could be emptied.",0.3357771,0,0.9067448,1,0.19472778,0,,,,
SofS,c02,chc02_e3,"May 6, 1847",I will be happy if I never have to set foot on another steamer again.,0.85123336,1,0.9064202,1,0.08605499,0,,,,
SofS,c02,chc02_e5,"May 8, 1847",The berths to one side of us are taken by the family of the rude girl who nearly trampled me ashore.,0.52754587,1,0.9062296,1,0.16258723,0,,,,
SofS,c02,chc02_e4,"May 7, 1847",Some folk arrived in Liverpool a week or more ago and had to spend every penny they had on lodging and food until the ship was ready to sail.,0.8222255,1,0.9061011,1,0.08601931,0,,,,
SofS,c03,chc03_e6,"June 10, 1847","But now that he is gone, our berth seems so quiet and empty, and Ma does not seem to know what to do with herself.",0.70315385,1,0.9060965,1,0.12372625,0,0,1,0,0
SofS,c05,chc05_e20,"August 26, 1847","We passed another long day on the wagon, and many times got off and walked where the road was bad or had been washed away.",0.7191402,1,0.9033986,1,0.10638868,0,,,,
SofS,c03,chc03_e17,"June 23, 1847","The captain says it is because there are so many ships and so many ill. As well, the people who live in Quebec want little to do with those of us on ships.",0.8208595,1,0.9025471,1,0.090640865,0,,,,
SofS,c02,chc02_e16,"May 21, 1847",It is whispered that fear of ship’s fever fills his mind.,0.3000977,0,0.9017821,1,0.23164335,0,,,,
SofS,c03,chc03_e4,"June 8, 1847","For two long days and nights, the wind howled and the ocean tossed our ship as if it were no more than a twig on the waters.",0.7525368,1,0.8995969,1,0.102232344,0,0,1,0,1
SofS,c04,chc04_e1,"July 3, 1847","The journey up the river took two long days and nights, with all of us jammed together on the deck of a steamship like so many pieces of wood.",0.73860663,1,0.8957796,1,0.10687099,0,,,,
SofS,c07,chc07_e13,"October 23, 1847","I have none when I think of my dear ma and wee Patrick, who found their rest in the deep, dark sea.",0.6129492,1,0.8956741,1,0.14026244,0,,,,
