chapter_id,date,sentence,neutral,positive,negative
c01,January 1863,I never knew there could be so much space just dedicated to water!,1,0,0
c08,October 1863,I found out what’s the matter with Mama.,1,0,0
c13,March 1864,"“Julia May,” he said, “I don’t rightly believe you were ever properly thanked for rescuing my daughter last fall.” I blushed and just muttered something.",1,0,0
c10,December 1863,He opened his eyes then and looked at me and I’ve never seen anybody look so awful.,1,0,0
c01,January 1863,"There’s nothing very grand about it, though.",1,0,0
c11,January 1864,It was Noah!,1,0,0
c01,January 1863,One of them was singing real pretty.,1,0,0
c05,July 1863,"Except for Mister Long driving, only Joseph was riding in the wagon.",1,0,0
c02,April 1863,"Even when he’s quiet, he’s got the devil in his eyes.",1,0,0
c06,August 1863,"His folks have got a piece of land to farm, but they’re not going to move onto it until next spring.",1,0,0
c07,September 1863,“I see you’ve been following me around as usual.,1,0,0
c06,August 1863,Turns out she lives up near Mister Frost’s place.,1,0,0
c01,January 1863,"We stayed huddled there together while the men called to the dogs, and went off, laughing and joking.",1,0,0
c01,January 1863,We followed her for the longest time.,1,0,0
c06,August 1863,"I wasn’t really intending to go up it, but I thought I’d just climb a 
bit.",1,0,0
c11,January 1864,We got some truly wonderful news!,1,0,0
c07,September 1863,He just sits and waits at the bottom of the cliff.,1,0,0
c06,August 1863,The rocks there are all jumbled up and slippery with moss.,1,0,0
c03,May 1863,Can’t for the life of me figure out why.,1,0,0
c11,January 1864,I wonder what it will bring us.,1,0,0
c06,August 1863,"Boze was about as dirty as he was when I first found him, so he got another bath.",1,0,0
c05,July 1863,Farmer let us stay in his barn tonight.,1,1,0
c01,January 1863,Couldn’t move.,1,0,0
c13,March 1864,"She doesn’t like the idea of Miles being away so much, and she’s worried about the dangers, but she knows jobs are hard to come by and this is a good chance for Miles.",1,0,0
c05,July 1863,Noah got a heel of bread and some cheese from a girl in the kitchen and brought it out to me.,1,0,0
c05,July 1863,"The grown-ups stayed up late last night, talking serious.",1,0,0
c01,January 1863,A quilt hung over the porch railings and flapped a little in the morning breeze — somebody must have been home — but there wasn’t a sign of anybody around.,1,0,0
c01,January 1863,"I saw a girl from the next cabin over whipped when they found out she could read just a couple of words, and I still have nightmares about it.",1,0,0
c03,May 1863,"He’s been able to find a bit of work now and then, mucking out stables here and there, but nothing permanent.",1,0,0
c01,January 1863,"There’d be another Conductor to take us on tonight, they said.",0,1,0
c10,December 1863,More than before.,1,0,0
c12,February 1864,"He’s so loving and kind with Sarah and the baby, and he treats Mama and Papa with respect.",1,0,0
c06,August 1863,Picking stones is hard work!,1,0,0
c05,July 1863,Why did you run away?” Then she came up so close I could feel spit flying from her mouth.,0,0,1
c06,August 1863,"“Who are you,” she asked, “and what are you doing here?” Well, the way she said it just got my back up.",1,0,0
c03,May 1863,"Good people there, though, and Reverend Brown preaches a fiery sermon.",1,0,0
c02,April 1863,We made it to Albany.,0,1,0
c08,October 1863,"My mama wouldn’t let them get away with 
near as much as Missus Pearce does.",1,0,0
c03,May 1863,Her mama and papa came up from New York after the American Revolution.,1,1,0
c01,January 1863,Leaves hide me and nobody can see me.,1,0,0
c06,August 1863,"There was a big crowd all around, waiting to get on it, and everybody was as excited as I was.",1,0,0
c03,May 1863,Reverend Brown prayed for all the boys who had gone south to fight for the Union Army.,1,0,0
c09,November 1863,"Soon as he was warm and dry again, he was all for going out to see how Buck was.",1,0,0
c05,July 1863,"Mama and Papa have gone to listen to the old man, and Joseph is asleep.",1,0,0
c01,January 1863,He carried us here to the Fortress.,1,0,0
c02,April 1863,I know who I am.,1,0,0
c07,September 1863,"When I turn the corner he’s always sitting there in the middle of the road, waiting.",1,0,0
c05,July 1863,"It took a lot of persuading, but Mama and Missus Long are such good friends, Mama finally gave in.",1,0,0
c02,April 1863,All but one boy who sits at the back.,1,0,0
c03,May 1863,"We got back to Mister Blunt’s and before I could warn Joseph not to say anything to Mama, he 
blurted the whole story out.",1,0,0
c02,April 1863,Missus Blunt and Mama are getting on fine.,1,0,0
c05,July 1863,Even got gravel on it.,1,0,0
c01,January 1863,"Today’s the Sabbath, so we went to church this morning.",1,0,0
c11,January 1864,How am I going to wait a whole month to see them?,1,0,0
