chapter_id,date,sentence,neutral,positive,negative
6,December 1815,We shall be packing what we can soon — only our warmest clothes.,1,0,1
12,June 1816,"But I see that you have taken her in and shown her kindness, and am sure God will bless you for your acts.” Suddenly, dear diary, I saw Kate in such a different light.",1,0,0
4,October 1815,The sun shone and as we sat in the boat it seemed we had arrived in Paradise.,0,1,0
12,June 1816,"Our little cabin will be burned, my garden will be destroyed.",1,0,0
5,November 1815,"When I took my long flannel nightdress off, tiny bright white lights shot off from it in every direction.",1,0,0
12,June 1816,"But feelings in the Company run high.” He went on to say that when Miles Macdonell proclaimed that no pemmican could be taken from the area, the Nor’Westers believed it was a direct insult to them.",0,0,1
7,January 1816,Father and James followed White Loon’s father and brothers out to the hunt.,1,0,0
12,June 1816,"My father was a good man, but never recovered after the death of my mother, and I am afraid life has been difficult for Kate.",1,0,0
11,May 1816,Is it not up to me to retain the standards of our old life?,0,0,1
10,April 1816,"I wanted to ask questions, but it was obvious that we should not even have overheard and that the adults did not want to discuss this with the children.",1,0,0
5,November 1815,"Being on Lake Winnipeg was once again like being on the sea, it is so large.",1,0,0
5,November 1815,The settlers here dance what is called a Red River jig.,0,1,0
18,December 1816,But with what hope I leave your precious pages.,1,0,0
7,January 1816,We are sent to the river for water and have to carry the heavy water skins back and forth.,1,0,0
10,April 1816,"And with James, he maybe is too old for another mother.",1,0,0
8,February 1816,A strip of snow about 5 feet long is brushed off and iced down to make it slippery.,1,0,0
2,August 1815,"He says he needn’t listen to me and that God is bad, so he shall be bad too.",1,0,0
11,May 1816,Our plot runs straight back from the river.,1,0,0
5,November 1815,"James is very talented and can make rings, bracelets and necklaces.",1,0,0
5,November 1815,"It has been a dreadful journey, ten brutish days — but I get ahead of myself.",0,0,1
3,September 1815,"I mix flour, water and a little lard to make fresh bannock.",1,0,0
9,March 1816,"“I’m sure the Indians will be able to get out of their tipis, as they have no wooden doors to stop them.",1,0,0
5,November 1815,I understood right away that he wanted it.,1,0,0
11,May 1816,"“She was never after him,” he said.",1,0,0
3,September 1815,"We are twenty to a boat, and Kate somehow ended up in our boat.",1,0,0
12,June 1816,He wants us to wait for officials of the North West Company from Qu’Appelle.,1,0,0
3,September 1815,Our first day on the boats introduced us to almost all of these horrid things.,0,0,1
5,November 1815,"Nails are so hard to find here that when the York boats finish their trips they burn them entirely just to retrieve the nails.” “What have you got there?” I said to James, looking down at something he was holding behind his back.",1,0,0
12,June 1816,Some were even forced to empty their pockets and had to allow their clothes to be searched.,1,0,0
15,September 1816,"We had a party for Robbie today and all his friends from the settlement came, as did the Indian boys.",0,1,0
5,November 1815,James came up behind me.,1,0,0
9,March 1816,He and James spend much time together and James is becoming familiar with their language.,1,0,0
10,April 1816,"“We are friends, Isobel, yes?” she asked.",1,0,0
5,November 1815,"I pointed to her moccasins and then counted on my fingers to the number 3, and then showed her the necklace.",1,0,0
14,August 1816,Would it still be Wishes To Be A Lady or something else altogether?,1,0,0
13,July 1816,"I could, of course, wear one of Mother’s dresses that I have made over for myself, but they are delicate and would last only a matter of days in this difficult and rough environment.",1,0,0
1,July 1815,"“Hard, backbreaking work.",1,0,0
7,January 1816,"Then the flap of the tent can be pulled back and I can sit by the fire, so my hands are warm enough and the ink does not freeze!",1,0,0
12,June 1816,She nodded.,1,0,0
5,November 1815,See how the whole thing is held together by strips of buffalo hide and wooden pegs?,1,0,0
5,November 1815,Alice made sure that James noticed what a good cook she was.,1,0,0
5,November 1815,It seems to me that they must be very clever animals or they would not notice such things.,1,0,0
10,April 1816,"Simple, and I begin to fear that he is right — and yet our fate seems to be in Semple’s hands.” It appeared to me that Father had gone from not telling us enough, to telling us too much.",1,0,0
10,April 1816,And then you were happy.,1,0,0
5,November 1815,"It is heartbreaking news that we must spend an entire winter away, and that it will only be in the spring that we can return, to begin our new lives here at The Forks.",0,1,1
12,June 1816,"Did I not say so?” As we came close to the shore Kate exclaimed, “William!",1,0,0
3,September 1815,"Then there are the mosquitoes that seem to arrive in huge clouds, especially in the shady areas as we paddle beneath the trees, and at dusk before we land for the night.",0,0,1
2,August 1815,"Would not a good, kind and loving God want a mother to stay with her children?",1,0,0
1,July 1815,And she cared little about leaving things behind.,1,0,0
2,August 1815,I have organized games for the children to keep them busy when we are not studying.,1,0,0
7,January 1816,The day had dawned bright and clear.,1,0,0
1,July 1815,"What a magnificent sight it was, seeing the huge beasts break through the water and then crash back in again, tails slamming the surface, sending waves and spray every which way.",1,0,0
10,April 1816,Father says that the Indians have a culture that is very old.,1,0,0
9,March 1816,"It was as if our hut were really a cocoon because it was so quiet we could barely hear, but at last it was apparent that there were definite sounds of scraping.",1,0,0
