chapter_id,date,sentence,neutral,positive,negative
c07,"October 2, 1847","She sent Fanny home and took charge, ordering both me and Mrs. Lyons about.",1,0,0
c04,"July 3, 1847","Michael managed to post a letter, but still has heard nothing and says that he does not expect word for some time, as this is a large country and the distances are great.",0,1,1
c07,"October 2, 1847",I wonder if it will sizzle.,1,0,0
c05,"August 1, 1847","She and her husband have been in
 the country only three years.",0,1,1
c07,"October 2, 1847",He loved to tell stories on Hallow Eve about the spirit world and the fires that warmed wandering souls.,1,0,0
c04,"July 3, 1847","“Indeed, he did,” I answered, “for he was a good and generous man.” But the second humpback was not like Lusmore.",1,0,0
c08,"November 4, 1847",This is because the wind blew from the north and gusted the snow.,1,0,0
c06,"September 1, 1847","She told me never to guess how a thing is done or where an item goes, but to ask instead.",1,0,0
c05,"August 1, 1847",I asked permission to go to the nearby square where Connor had said that he and Michael used to meet.,1,0,0
c05,"August 1, 1847","When I said yes, she looked at me for a moment and said I would be better off using my book for reflecting on my own life rather than noting down gossip about ladies like Mrs. Johnson.",1,0,0
c06,"September 1, 1847","She promises to lend me the book when she has finished reading it, although I think by then that I will already know the whole story!",1,0,0
c08,"November 4, 1847",I hastened back inside.,1,0,0
c06,"September 1, 1847","When I tossed it over my shoulder, it made the letter 
C
, and I thought immediately of Connor.",1,0,0
c03,"June 1, 1847",If only we had not been reduced to this.” Da says “if only” is easy to say but difficult to predict.,1,0,0
c03,"June 1, 1847","But now that he is gone, our berth seems so quiet and empty, and Ma does not seem to know what to do with herself.",0,0,1
c08,"November 4, 1847",She has never been separated from both of them at the same time.,1,0,0
c09,"December 1, 1847",Mr. Fenton seemed pleased with our progress.,1,0,0
c04,"July 3, 1847","“I see,” she said, still in her haughty tone.",1,0,0
c05,"August 1, 1847","“I want to help,” I said.",1,0,0
c02,"May 1, 1847",Fifty folk are said to be dying each day in one county.,1,0,0
c02,"May 1, 1847",So is Ma.,1,0,0
c05,"August 1, 1847","“You are Irish,” she said.",1,0,0
c05,"August 1, 1847",I didn’t know what to say.,1,0,0
c04,"July 3, 1847","I promised to care for him, and now he is gone.",1,0,0
c07,"October 2, 1847","The company pays cash, which Mrs. Lyons says is scarce but is needed to buy certain items.",1,0,0
c07,"October 2, 1847",Her face is as white as Mrs. Lyon’s apron but for the two apple-red fever spots on her little cheeks.,1,0,0
c04,"July 3, 1847",All I could think about was Ma dying alone in that terrible place.,1,0,0
c08,"November 4, 1847","Lucy ran to her, crying, and wrapped her arms around her mother’s legs, sobbing
 that Papa would be angry when he saw his watch chain.",1,0,0
c09,"December 1, 1847","It was only then that I thought of Connor’s brother Kerry, who had been taken off the ship at Grosse Isle.",0,0,1
c05,"August 1, 1847",Is that why he moved?,1,0,0
c05,"August 1, 1847","I looked again, thinking I must have misplaced it.",0,0,0
c07,"October 2, 1847","I miss them both, especially Patrick’s merry gurgles, which never failed to bring a smile to Ma’s face.",1,0,0
c07,"October 2, 1847",After Christmas the logging company will take them on again to transport the logs over the road to the edge of a river.,1,0,0
