book_name,chapter_id,entry_id,date,sentence
FitS,c01,chc01_e1,July 15,", 1815 Robbie is lost without Mother."
FitS,c01,chc01_e1,July 15,"At nine years he is old enough to accept that she will never return, but not old enough to understand it."
FitS,c01,chc01_e1,July 15,"Mind you, I’m not sure any of us understands."
FitS,c01,chc01_e1,July 15,"James, being such a good older brother, tries to cheer him with his never-ending wit and humour, but all his attempts seem to fall flat."
FitS,c01,chc01_e1,July 15,"The companionship Robbie normally shares with Father is also taken from him, as Father is too sunk in grief to notice anything."
FitS,c01,chc01_e1,July 15,Father sits listlessly on his bunk all day.
FitS,c01,chc01_e1,July 15,I have to practically drag him up on deck.
FitS,c01,chc01_e1,July 15,He speaks to no one.
FitS,c01,chc01_e1,July 15,"I remember the day, just after my twelfth birthday, when Father came home looking fit to burst, with the news that would change our lives forever."
FitS,c01,chc01_e1,July 15,A more different man than the one I see before me I cannot imagine.
FitS,c01,chc01_e1,July 15,His eyes shone with excitement.
FitS,c01,chc01_e1,July 15,He could barely stand still.
FitS,c01,chc01_e1,July 15,"“I have met with a fellow who represents the Earl of Selkirk,” he said."
FitS,c01,chc01_e1,July 15,“He is recruiting men to leave Scotland to settle in Rupert’s Land in the New World!
FitS,c01,chc01_e1,July 15,It will mean a long sea voyage.
FitS,c01,chc01_e1,July 15,But in the New World we will own our own land.
FitS,c01,chc01_e1,July 15,"And the Red River, apparently, is in a fertile valley, with a growing season long enough to bring in a good crop."
FitS,c01,chc01_e1,July 15,"This is our chance,” Father had declared."
FitS,c01,chc01_e1,July 15,“This is our chance to make something of ourselves.
FitS,c01,chc01_e1,July 15,To start over.
FitS,c01,chc01_e1,July 15,To become landowners.
FitS,c01,chc01_e1,July 15,To rise in the world.
FitS,c01,chc01_e1,July 15,And not always live in servitude.” Mother had laughed with delight.
FitS,c01,chc01_e1,July 15,"“You need not convince me, William,” she said."
FitS,c01,chc01_e1,July 15,“We will go on the biggest adventure of our lives.” At that she tossed the sewing that was in her hands up in the air and Father caught her in his arms and they spun around and around as if they could hear the music and they were dancing in a ballroom filled with candles and flowers.
