book_name,chapter_id,entry_id,date,sentence
NbutC,1,ch1_e1,"October 6th, 1783",They burned the schoolhouse down!
NbutC,1,ch1_e1,"October 6th, 1783",A group of Patriots came just as Father was making ready for the new school year.
NbutC,1,ch1_e1,"October 6th, 1783",“Traitor!” they called him.
NbutC,1,ch1_e1,"October 6th, 1783",“Cowardly Tory!” All because he would not sign their Oath of Allegiance to the new United States of America.
NbutC,1,ch1_e1,"October 6th, 1783",They seized Father and dragged him out of the school.
NbutC,1,ch1_e1,"October 6th, 1783",In front of his very eyes they tossed torches in through the door and the windows.
NbutC,1,ch1_e1,"October 6th, 1783","In seconds all was ablaze, Father said."
NbutC,1,ch1_e1,"October 6th, 1783",They didn’t even allow him to salvage any of his books!
NbutC,1,ch1_e1,"October 6th, 1783",What were they thinking?
NbutC,1,ch1_e1,"October 6th, 1783",This was their schoolhouse as well as ours.
NbutC,1,ch1_e1,"October 6th, 1783",This war has turned everyone insane.
NbutC,1,ch1_e1,"October 6th, 1783",Lizzie Crane turned her back on me this morning and would not even give me the time of day.
NbutC,1,ch1_e1,"October 6th, 1783",I couldn’t believe it.
NbutC,1,ch1_e1,"October 6th, 1783",My own best friend.
NbutC,1,ch1_e1,"October 6th, 1783",I’ve been friends with her since we were born!
NbutC,1,ch1_e1,"October 6th, 1783",I cannot bear looking at Father.
NbutC,1,ch1_e1,"October 6th, 1783","He is the kindest, gentlest man in the world."
NbutC,1,ch1_e1,"October 6th, 1783",He always had a smile on his face and a laugh in his heart.
NbutC,1,ch1_e1,"October 6th, 1783",Now he sits at the kitchen table and stares out the window.
NbutC,1,ch1_e1,"October 6th, 1783",He will not even talk.
NbutC,1,ch1_e1,"October 6th, 1783",Mother is distraught and that makes baby Margaret fussy.
NbutC,1,ch1_e1,"October 6th, 1783",Grannie bustles around with her mouth set in that grim line I know so well.
NbutC,1,ch1_e1,"October 6th, 1783","I’m not the cause of it now, though, and at least that’s a mercy."
NbutC,1,ch1_e1,"October 6th, 1783","When Grannie gets mad at you, you’d better skedaddle out of there."
NbutC,1,ch1_e1,"October 6th, 1783",Jamie’s the only one who’s acting normal.
NbutC,1,ch1_e1,"October 6th, 1783",I suppose at five years old none of this means anything to him.
NbutC,1,ch1_e1,"October 6th, 1783",He only misses Angus and keeps asking after him.
NbutC,1,ch1_e1,"October 6th, 1783","When I told him Angus was off to fight with the British army he thought that a great lark, and went about for days with a stick over his shoulder, pretending to be a soldier."
NbutC,1,ch1_e1,"October 6th, 1783",I don’t know what to do.
NbutC,1,ch1_e1,"October 6th, 1783",There is no one to talk to.
NbutC,1,ch1_e1,"October 6th, 1783",No one to tell me what is going to happen.
NbutC,1,ch1_e1,"October 6th, 1783",In desperation I’ve picked up my old journal.
NbutC,1,ch1_e1,"October 6th, 1783",Father gave it to me for my twelfth birthday and I’ve not written in it yet.
NbutC,1,ch1_e1,"October 6th, 1783","Nothing to say, I thought, except news of the war, and I didn’t want to even think about that."
NbutC,1,ch1_e1,"October 6th, 1783","But I have to now, don’t I?"
NbutC,1,ch1_e1,"October 6th, 1783",And I’m so frightened!
NbutC,1,ch1_e1,"October 6th, 1783",The whole world has gone mad!
NbutC,1,ch1_e2,"October 7th, 1783",I do not know how to write of this.
NbutC,1,ch1_e2,"October 7th, 1783","It is so awful I cannot bear it, but I am so full of grief and anger and just plain disbelief that if I do not let it out I will die!"
NbutC,1,ch1_e2,"October 7th, 1783",How to begin?
NbutC,1,ch1_e2,"October 7th, 1783",They came for Father this morning.
NbutC,1,ch1_e2,"October 7th, 1783","A loud, rowdy bunch of so-called Patriots with cockades in their hats, all puffed up with righteousness and their own importance."
NbutC,1,ch1_e2,"October 7th, 1783",We knew most of them.
NbutC,1,ch1_e2,"October 7th, 1783",They were our neighbours.
NbutC,1,ch1_e2,"October 7th, 1783",People we used to call friends.
NbutC,1,ch1_e2,"October 7th, 1783",Lizzie Crane’s father was one of them.
NbutC,1,ch1_e2,"October 7th, 1783",And Ned Bolton — his wife and Mother have known each other all their lives!
NbutC,1,ch1_e2,"October 7th, 1783",They pulled Father out of the house and dragged him down the path.
NbutC,1,ch1_e2,"October 7th, 1783",They just dragged him!
NbutC,1,ch1_e2,"October 7th, 1783",And then … This is the part I cannot write.
NbutC,1,ch1_e2,"October 7th, 1783",But I must.
NbutC,1,ch1_e2,"October 7th, 1783",They lifted my dear father up and sat him on a mule — backwards!
NbutC,1,ch1_e2,"October 7th, 1783",They tied his hands to the pommel and whipped the mule forward.
NbutC,1,ch1_e2,"October 7th, 1783","They paraded Father through town that way, shouting vile oaths that I cannot repeat even to this journal."
NbutC,1,ch1_e2,"October 7th, 1783",My father!
NbutC,1,ch1_e2,"October 7th, 1783",He will die of the shame of this.
NbutC,1,ch1_e2,"October 7th, 1783",Then they brought him back and threw him down in the dust.
NbutC,1,ch1_e2,"October 7th, 1783","“Here’s a pass for you, Tory,” they shouted, tossing a piece of paper after him."
NbutC,1,ch1_e2,"October 7th, 1783","He bent to pick it up, but stumbled and almost fell."
NbutC,1,ch1_e2,"October 7th, 1783",Mother rushed forward to support him and snatched up the paper.
NbutC,1,ch1_e2,"October 7th, 1783",“Get out of here!” she screamed at the men.
NbutC,1,ch1_e2,"October 7th, 1783",Her face was all twisted up and she was crying.
NbutC,1,ch1_e2,"October 7th, 1783",“Get out!” Then she put her arms around Father and he just kind of slumped against her.
NbutC,1,ch1_e2,"October 7th, 1783",I started to run toward them but the sound of Ned Bolton’s voice stopped me as surely as if he had reached out and struck me.
NbutC,1,ch1_e2,"October 7th, 1783",“Use that pass and be out of here by morning!” he cried.
NbutC,1,ch1_e2,"October 7th, 1783",“All of you.
NbutC,1,ch1_e2,"October 7th, 1783",We don’t want filthy Tories in this town!” Although the word they used was not “filthy.” Grannie turned crimson red and
NbutC,1,ch1_e3,"October 8th, 1783",By the light from the campfire My hands are shaking so that I can hardly write and I’ve made so many blots I can hardly read what I have written.
NbutC,1,ch1_e3,"October 8th, 1783","I feel like a feather bed that’s been shaken out, turned upside down and jumped on."
NbutC,1,ch1_e3,"October 8th, 1783","I stopped writing yesterday because just as I was going to say “and put her hands over Jamie’s ears,” I smelled burning."
NbutC,1,ch1_e3,"October 8th, 1783",It was our field!
NbutC,1,ch1_e3,"October 8th, 1783",They set our cornfield on fire!
NbutC,1,ch1_e3,"October 8th, 1783",And that wasn’t the worst of it.
NbutC,1,ch1_e3,"October 8th, 1783","When they finally left, Father turned to us."
NbutC,1,ch1_e3,"October 8th, 1783",I have never seen his face look like it did at that moment.
NbutC,1,ch1_e3,"October 8th, 1783","“That is it, then,” he said."
NbutC,1,ch1_e3,"October 8th, 1783",“There is nothing for it but to leave.” It seemed as if he had to force the words out through his lips — as if his mouth wouldn’t work.
NbutC,1,ch1_e3,"October 8th, 1783",I could barely make out what he was saying.
NbutC,1,ch1_e3,"October 8th, 1783",Mother just stood there.
NbutC,1,ch1_e3,"October 8th, 1783",She looked as if she had been struck.
NbutC,1,ch1_e3,"October 8th, 1783",We packed the wagon all night with everything that we could fit into it.
NbutC,1,ch1_e3,"October 8th, 1783",And the smell of the burned out cornfield was in our noses the whole time.
NbutC,1,ch1_e3,"October 8th, 1783","We packed Grannie’s spinning wheel, Mother and Father’s bed and feather tick, Mother’s quilting frame, a small chest of drawers, as many pots and kettles and dishes as we could, and a few other bits of furniture."
NbutC,1,ch1_e3,"October 8th, 1783",Mother and Grannie packed bags and bags of food and provisions.
NbutC,1,ch1_e3,"October 8th, 1783",Luckily we had a good supply of salt pork on hand as Father had butchered our hog last month.
NbutC,1,ch1_e3,"October 8th, 1783",I expect we will be eating a lot of that.
NbutC,1,ch1_e3,"October 8th, 1783",We each made a bundle of our clothes.
NbutC,1,ch1_e3,"October 8th, 1783","I helped Jamie with his, but we still had to leave much behind."
NbutC,1,ch1_e3,"October 8th, 1783","Father tied a cage, with as many of our chickens as could fit into it, to the back of the wagon, but we had to leave the geese."
NbutC,1,ch1_e3,"October 8th, 1783",Grannie insisted on digging up a piece of the lilac bush that grows in our doorway.
NbutC,1,ch1_e3,"October 8th, 1783",Granda planted that bush for her when they were married and she said she would not leave without at least a bit of it.
NbutC,1,ch1_e3,"October 8th, 1783","It is a very small piece and she has it in a little pot, wrapped in burlap and soaking wet."
NbutC,1,ch1_e3,"October 8th, 1783","I do not see how it can survive, but Grannie can be very stubborn when she wants."
NbutC,1,ch1_e3,"October 8th, 1783","We were just getting ready to leave, after a quick breakfast, when those same men turned up again."
NbutC,1,ch1_e3,"October 8th, 1783","They’d been into the whiskey, I could tell, never mind that it was first thing in the morning."
NbutC,1,ch1_e3,"October 8th, 1783",They smelled of it and they were all red-faced and shouting.
NbutC,1,ch1_e3,"October 8th, 1783",Maybe they needed it to get their courage up for what they did.
NbutC,1,ch1_e3,"October 8th, 1783",What they did was rush into our house and push and shove us out.
NbutC,1,ch1_e3,"October 8th, 1783",Out of our own home!
NbutC,1,ch1_e3,"October 8th, 1783",Even Grannie!
NbutC,1,ch1_e3,"October 8th, 1783",They actually knocked her down and not one of them stopped to help her up.
NbutC,1,ch1_e3,"October 8th, 1783",I did that.
NbutC,1,ch1_e3,"October 8th, 1783",Father had already harnessed old Blue to the wagon and we fled to it.
NbutC,1,ch1_e3,"October 8th, 1783",Father climbed up and helped Mother and Grannie up beside him.
NbutC,1,ch1_e3,"October 8th, 1783","I gave Grannie a good boost from behind and normally she would have had my scalp for that, but not that morning."
NbutC,1,ch1_e3,"October 8th, 1783","Mother was holding Margaret, who began to wail."
NbutC,1,ch1_e3,"October 8th, 1783",Jamie and I clambered up in the back and perched ourselves on top of all the things we had packed in there.
NbutC,1,ch1_e3,"October 8th, 1783",We’d tied Bess onto the back and she was bellowing because we hadn’t milked her.
NbutC,1,ch1_e3,"October 8th, 1783",Even the chickens in their cage were making a racket.
NbutC,1,ch1_e3,"October 8th, 1783","And then … I don’t want to remember, but the pictures are all in my mind and I don’t think I’ll ever be able to forget them."
NbutC,1,ch1_e3,"October 8th, 1783","Even as we watched, those men ran into the house and began smashing things."
NbutC,1,ch1_e3,"October 8th, 1783",Smashing!
NbutC,1,ch1_e3,"October 8th, 1783",Smashing!
NbutC,1,ch1_e3,"October 8th, 1783",Smashing!
NbutC,1,ch1_e3,"October 8th, 1783",They smashed everything we had left behind — we could hear them doing it.
NbutC,1,ch1_e3,"October 8th, 1783",And we could see them through the doorway.
NbutC,1,ch1_e3,"October 8th, 1783",They even threw a bench through our glass window.
NbutC,1,ch1_e3,"October 8th, 1783",Why would they do that?
NbutC,1,ch1_e3,"October 8th, 1783",The chickens we’d left in the yard were all scattered and clucking and running around every which way in a frenzy.
NbutC,1,ch1_e3,"October 8th, 1783",Then I saw a man running off with one of our geese under his arm and I recognized Jed Turner.
NbutC,1,ch1_e3,"October 8th, 1783",My stomach heaved up and I thought I would be sick right then and there.
NbutC,1,ch1_e3,"October 8th, 1783",Jed Turner used to be just as friendly as a next-door neighbour could be.
NbutC,1,ch1_e3,"October 8th, 1783",Father turned as white as a haunt and without a word he cracked the whip down on Blue’s back.
NbutC,1,ch1_e3,"October 8th, 1783","Poor old Blue, I don’t think he’s ever felt such a lash in his whole life."
NbutC,1,ch1_e3,"October 8th, 1783","He gave a huge leap and the next thing I knew we were out the gate and down the road, Blue trotting faster than he’s ever trotted before and Jamie and me rattling around on top of the wagon like two broken teacups on their saucers."
NbutC,1,ch1_e3,"October 8th, 1783",Thank goodness the feather tick was on top or we would have been jounced right off.
NbutC,1,ch1_e3,"October 8th, 1783",Bess lolluped along behind us and bawled every step of the way with indignation.
NbutC,1,ch1_e3,"October 8th, 1783","I stared and stared at our house and garden, trying to fix every single detail in my mind until we turned the bend in the road, and then it was gone."
NbutC,1,ch1_e3,"October 8th, 1783",I saw Lizzie looking out her window as we passed her house.
NbutC,1,ch1_e3,"October 8th, 1783",She didn’t wave.
NbutC,1,ch1_e3,"October 8th, 1783",I didn’t wave either.
NbutC,1,ch1_e3,"October 8th, 1783",We just sort of stared at each other.
NbutC,1,ch1_e3,"October 8th, 1783",We’ve left our home behind us.
NbutC,1,ch1_e3,"October 8th, 1783",Left everything I’ve ever known in my life.
NbutC,1,ch1_e3,"October 8th, 1783","We’re escaping to British Canada, Father says."
NbutC,1,ch1_e3,"October 8th, 1783",To the Province of Québec.
NbutC,1,ch1_e3,"October 8th, 1783","Father told me that Loyalist families have been promised free land there in recompense for their loyalty to the King, but I can’t imagine he ever thought we’d be the ones leaving our homes."
NbutC,1,ch1_e3,"October 8th, 1783","I have no idea at all where Québec is, only that it’s a long way away from Albany."
NbutC,1,ch1_e3,"October 8th, 1783",I am so mixed up and confused and just plain desperate and my head aches so badly.
NbutC,1,ch1_e3,"October 8th, 1783","I would give anything for one of Grannie’s hot teas right now and I wouldn’t even complain about how bitter it was, but I don’t dare ask her."
NbutC,1,ch1_e3,"October 8th, 1783",Things are bad enough.
NbutC,1,ch1_e3,"October 8th, 1783","Mother barely had time to cook porridge tonight over the fire that Father built, before it began to rain."
NbutC,1,ch1_e3,"October 8th, 1783",We are in the woods with hardly any shelter.
NbutC,1,ch1_e3,"October 8th, 1783",Now we are all huddled under tarpaulins and trying to keep dry.
NbutC,1,ch1_e3,"October 8th, 1783",The rain has stopped but the trees are still dripping down on us and everything is so wet it’s hard to write without blotching and smearing the words all over the pages.
NbutC,1,ch1_e3,"October 8th, 1783","I want to write, though."
NbutC,1,ch1_e3,"October 8th, 1783",I need to write.
NbutC,1,ch1_e3,"October 8th, 1783","Mother is feeding baby Margaret, but I can see from here that she is shaking so much that it’s making the baby fretful."
NbutC,1,ch1_e3,"October 8th, 1783","She has hardly spoken to me at all since we fled and just keeps repeating over and over, “I cannot believe it."
NbutC,1,ch1_e3,"October 8th, 1783",I just cannot believe it.” I know exactly how she feels.
NbutC,1,ch1_e3,"October 8th, 1783",Jamie is snoring beside me.
NbutC,1,ch1_e3,"October 8th, 1783","He was frightened at first, but now he thinks this is all just a great adventure."
NbutC,1,ch1_e3,"October 8th, 1783",It is not any kind of adventure that I would ever have wished.
NbutC,1,ch1_e3,"October 8th, 1783","Try as I might, I cannot make sense of all this."
NbutC,1,ch1_e3,"October 8th, 1783",For over seven years — more than half my life — this war has been raging.
NbutC,1,ch1_e3,"October 8th, 1783",Father has tried to explain it to me.
NbutC,1,ch1_e3,"October 8th, 1783",Some colonists wanted independence from Britain.
NbutC,1,ch1_e3,"October 8th, 1783","Those are the rebels, or Patriots as they call themselves."
NbutC,1,ch1_e3,"October 8th, 1783","Some, such as us, wanted to remain British."
NbutC,1,ch1_e3,"October 8th, 1783",For that we are called names and thrown out of our homes!
NbutC,1,ch1_e3,"October 8th, 1783","Even Lizzie hissed the word “traitor” at me, but we are not traitors."
NbutC,1,ch1_e3,"October 8th, 1783",We are Loyalists!
NbutC,1,ch1_e3,"October 8th, 1783","Father admits that much of what the rebels claimed was just — the British were interfering too much in our affairs, and levying unreasonable taxes upon us."
NbutC,1,ch1_e3,"October 8th, 1783",But he never thought rebellion was the answer.
NbutC,1,ch1_e3,"October 8th, 1783","He believed so surely that matters could have been worked out, if only there had been enough good will on both sides."
NbutC,1,ch1_e3,"October 8th, 1783","Even though Mother agreed with Father, it practically tore her apart when Angus went off to war."
NbutC,1,ch1_e3,"October 8th, 1783","She tried her best to dissuade him, but off he would go."
NbutC,1,ch1_e3,"October 8th, 1783","“Besides,” he’d said, “if I don’t fight for the British I’ll have to fight for the rebels, and that I will never do.” It was after that that our friends and neighbours began to shun us, but we never imagined things would come to this."
NbutC,1,ch1_e3,"October 8th, 1783","I can write no more tonight, but I will tomorrow."
NbutC,1,ch1_e3,"October 8th, 1783","It is important, this writing down of things."
NbutC,1,ch1_e4,"October 9th, 1783",Grannie saw how bad I was feeling today.
NbutC,1,ch1_e4,"October 9th, 1783",My head was hurting so much I felt dizzy.
NbutC,1,ch1_e4,"October 9th, 1783",She made Father pause long enough at midday to brew me up one of her simples.
NbutC,1,ch1_e4,"October 9th, 1783","“Here, lass, this will take the pain away,” she said and gave my forehead a rub."
NbutC,1,ch1_e4,"October 9th, 1783",The tea did taste horrid but it made my head feel much better.
NbutC,1,ch1_e4,"October 9th, 1783",So did the rub.
