PasWide,01,ch01_e44,July 1,July the first was a day of firsts for Ivy Doris Weatherall but I am too tired to write about it so I will tomorrow.
PasWide,01,ch01_e57,July 27,A Sad Day This afternoon Mother and Dad took Jack over to Uncle Alf’s.
PasWide,01,ch01_e57,July 27,When they came home they had no Jack and bad news.
PasWide,01,ch01_e57,July 27,Uncle Alf and Auntie Millie and Baby Jack are going home to England.
PasWide,01,ch01_e57,July 27,"Mother wrote to Millie’s people and told them about Auntie Millie being sad and sick, and Uncle Alf owing all the money and all that."
PasWide,01,ch01_e57,July 27,So Auntie Millie’s father sent them the fares to go home.
PasWide,01,ch01_e57,July 27,They are leaving on Thursday.
PasWide,01,ch01_e57,July 27,There is an empty place in the house where Jack used to be.
PasWide,01,ch01_e57,July 27,I will miss him.
PasWide,01,ch01_e76,September 6,A Happy End to Adversity (I stole this from Mrs. Traill) I finished Lost in the Backwoods .
PasWide,01,ch01_e76,September 6,Catharine was rescued.
PasWide,01,ch01_e76,September 6,After three years they all get home safely.
PasWide,01,ch01_e76,September 6,Later on Catharine and Louis get married.
PasWide,01,ch01_e76,September 6,"It seems to me that she is going to find it a bit dull, cooking breakfast and washing nappies."
PasWide,01,ch01_e90,September 30,The Reader First month of school and Gladys has already read everything in the primer.
PasWide,01,ch01_e90,September 30,Miss Hutchinson says she can go on to the Canadian Reader Book One .
PasWide,01,ch01_e109,October 24,The blizzard is like a bad dream.
PasWide,01,ch01_e146,December 23,Cheering Up Gladys Found Gladys crying today.
PasWide,01,ch01_e146,December 23,"She was worried that Father Christmas (the real one, not the one at the concert, she said) would not know that we have come to Canada."
PasWide,01,ch01_e146,December 23,She cheered up when I told her that Father Christmas lives in Canada because that’s where the North Pole is.
PasWide,01,ch01_e146,December 23,So he obviously knows all about Canada and especially about the Weatheralls in Milorie.
PasWide,01,ch01_e146,December 23,(Is that true?
PasWide,01,ch01_e146,December 23,Is the North Pole in Canada?
PasWide,01,ch01_e146,December 23,I can’t ask Mr. Ambrose because he has gone away to his married son’s for a few weeks.)
PasWide,01,ch01_e146,December 23,The Gilmours have invited us for Christmas dinner on Christmas Eve.
