chapter_id,date,sentence
01,July 3,Then Hans cranked and the motor started and both boys jumped in and we were off.
01,November 17,I would hear their horses.
01,September 4,First thing I noticed was a sign on the school barn saying “No Girls Allowed.” I asked Elizabeth where the girls stable their horses.
01,July 27,There is an empty place in the house where Jack used to be.
01,August 3,Jam for Wages Dad has another job.
01,January 12,Accident There wasn’t any school this afternoon.
01,April 2,Mother said that she wished that birthdays ended at noon like
01,August 28,Her hair is perfect.
01,May,They have old Leaders piled up there.
01,May 7,But then I started to feel very green.
01,August 7,I feel really sad that William doesn’t have any friends.
01,September 3,Maybe that would be as good in stupid boy-thinking as killing gophers.
01,December 22,Present Plans Revised I’m better with paper and glue than with sewing.
01,October 1,Harry likes to hear about bombs and such.
01,May 16,It was the first time it had been just the two of us since England.
01,May 16,"Dad woke me up early and said, “Shhhh, keep your eyes closed.” Then he put on my shoes."
01,March,"isn’t spring in Saskatchewan, it is still blinking cold.)"
01,Mars,The noisy family moved out of number 107.
01,March 25,I wish I’d never found the darn poem.
01,August 29,(Do parents like saying no?)
01,August 25,Catharine has been captured by Indians.
01,March 2,Dad said anything that wouldn’t land us in jail or in the hospital.
01,October 21,I told them The Three Pigs and The Three Bears and a made-up story about chickens.
01,July 5,The Slew This morning the twins took all the lids off the stove and hid them.
01,May,This is good because at Uncle Alf’s Gladys was afraid of the outhouse.
01,May 16,It is very early and everything is different.
01,November 2,This makes the string knock on door number two.
01,September 8,Good riddance.
01,July 2,We got tangled up and fell over and then we couldn’t stand up because we were laughing so hard.
01,February 16,Now I smell like Miss Hutchinson.
01,May 18,I was a bit scared because I have never seen a Chinese person before and in Magnet magazine all the Chinese men have long moustaches and long knives.
01,August 18,"He called her a steady, reliable school horse."
01,December 17,I think colours would really help with arithmetic drills.)
01,May 20,It is much harder than it looks.
01,July 16,Elizabeth and I were so mad that we could hardly keep quiet.
01,December 20,"“I think that my brother Alf Jones has turned out to be a bit of a bounder!” “Is there any more fruitcake?” Weatherall minor, the fat boy, enquired hopefully."
01,April 2,(The celery dishes are yellow glass and they pretended they were gold).
01,May 2,Soon we will all go to the dining room.
01,September 8,Then she just flounced away.
01,March 16,Nyla is acting all know-it-all about the spring description contest.
01,September 7,Mine is called a Red Monarch and it has a lovely picture of a lion on the front.
01,October 21,Before I finish writing this long sentence I want to hear the horses.
01,August 10,The only part of me that wasn’t freezing was my front on her back.
01,June 18,"Anyway, William and I are going to be the deep-sea diver brother-and-sister team and we’re going to discover many new kinds of fish and along the way we’ll pick up some sunken treasure to get the money for our expeditions."
01,April,At five o’clock Harry ordered us all to be executed and Mother said she would welcome the escape.
01,May 7,Then William.
01,June 17,Tomorrow the talent arrives and it really starts.
01,May,It was a tight fit.
01,may,It is called At the Back of the North Wind .
01,October 3,I did too.
01,May 27,"Two black-and-white, two grey, and one marmalade, just like Chivers."
01,August 25,"He says they say to each other, “Fee fi fo fum, I smell the blood of an Englishman.” Question about mosquitoes: Why?"
01,August 17,Mother got very angry at me and she thought the swollen toe was from the wasps as well.
01,May 2,"On board the Ausonia, 4 o’clock We’re off."
01,May 10,But what if China is a trick too?
01,June 1,But he doesn’t do that part of the store.
01,July 24,Mrs. Muller won a prize for her quilt.
01,December 19,Then there was carol singing.
01,May 2,“Is that our ship?” “Where’s Frank?” “What are we stopping for?” “Who’s got the luggage?” It was like the Tower of Babel.
01,January 9,"I thought of the twelve-year-old boys I know, but I don’t think Jesus was messy and loud like them."
01,April 4,Bright eyes.
01,June 18,"There we were, floating along, and under us was a whole world, miles straight down of swimming, eating, attacking fish families, and jellyfish dancing."
01,April,Mother and Dad say there is no money for birthday presents this year.
01,December 6,"Like, “S is for snow, da dum, da dum, da dum.” And we have to make up the poems."
01,July 18,One egg covers a lot when it is broken.
01,May 22,I miss Grandad.
01,September 2,I’ll use the Magic Key Line Drawing and draw a picture of Dot’s head.
01,June 1,That’s what Canadians call cotton.
01,July 5,"We don’t know how to swim because we were only at the seaside once, with Auntie Lou, and it rained the whole time."
01,September 7,"Then we sang “The Maple Leaf Forever,” which is different."
01,July 15,How can I stand to wait a whole week and one day?
01,December 21,For William a pen-wiper.
01,March 7,I looked in the United Farm Women Cookbook for ideas and I am going to make jumbles biscuits and black-eyed Susan sandwiches.
01,June 16,He didn’t remember the Prince of Wales.
01,July 5,She did finally find twins and lids but she said I had to mind them for the afternoon whilst Baby Jack was napping.
01,October 2,Mr. Quigley said that the Bible said that manna was like wafers made with honey and we should think of the most delicious thing we could.
01,March 2,It is not dangerous.
01,October 18,"Nyla looked at it, looking down her nose the way she does, and said, “That’s an interesting style."
01,March 28,A New Week I take it back.
01,March 15,Here’s mine: The bright purple crocuses are blooming merrily in the pasture.
01,"January 3, 1927",Back to School 1927.
01,November 22,"Chocolate Bomb Today one of the little boys, Thorvald Berg, who is in grade one, put his tin pail of cocoa on the stove at school to heat up and he forgot to take the lid off a bit."
01,April 2,They wore their bathrobes and paper crowns and ordered us around.
01,May 12,Canadian trains are different.
01,June 1,First thing I saw in the store was William.
01,March 15,Welkin means sky.
01,August 29,I told her about going to the pantomime and she said that many famous movie stars got their start on the stage or in vaudeville.
01,May 2,I watched them until they disappeared.
01,November 20,It was horns and a banjo and drums and I couldn’t tell what else.
01,November 12,"Then he told me that since he stopped farming he has started to read the encyclopedia, because he didn’t have much chance of an education when he was a lad and it is never too late."
01,December 20,Christmas Comes from Home The Christmas parcel from Auntie Lou has arrived!
01,August 29,Lorayne knew all about which actors and actresses were in them.
01,May 23,There is only one teacher for everyone.
01,March 25,I’m so angry I just want to stick this pen right through the paper.
01,May 9,Friendly and not proud.
01,July 18,We went out to a field along the road to the Piggott place.
01,June 17,"The animals were ponies, dogs, cats, a rabbit, two mice in a cage, and a pig."
01,January 12,Every so often he would tell Mother to put one more drop on the mask.
01,November 21,"Question of the Day My question for Mr. Ambrose today was, can music be wicked?"
01,June 18,Deep Sea Today was my day at the Chautauqua.
01,May 21,He calls Gladys “Glad-Eyes.” He can walk on his hands and whistle at the same time.
01,June 27,"Then Toffee-Nose made her mouth into a drawstring and said that I shouldn’t use bad language, especially not on the sabbath."
01,May 20,William and I went down the road a bit before anyone else stirred.
01,April 18,Then Mother said that I am a big Canadian Ivy.
01,August 30,What does that mean?
01,May 2,I kept hold of a twin with either hand.
01,October 21,I put more coal in and we ate more bread and molasses.
01,October 1,“Go on with your work.
01,October 21,They borrowed a team of horses and a hay rack to move us.
01,December 6,Then Abel shot up his hand and said he had already finished his poem.
01,"May 1, 1926",I would pull tomorrow out of a hat.
01,May 16,"Then we went back to the coach and Dad saw that nobody was using the stove yet, so he said he would start breakfast for us, and that I should go back to bed and coast until it was ready."
01,November 22,In the middle of the grade six spelling drill it exploded.
01,April,Then just before recess there was an explosion in the stove.
01,May 13,Today Dad got out his Canada West booklet and read us bits.
01,October 22,They came in a sleigh.
01,December 20,A bag of ribbon sweets and humbugs.
01,April 16,"The grammar bee was postponed, not cancelled."
01,May 20,Lyons is jolly but I’d rather learn to milk Sally and drive a team.
01,March 3,Does it spoil your wish if you tell it to your diary?
01,May 11,She doesn’t understand how big Canada is.
01,May 19,He was excited too and he held my hand.
01,November 23,This isn’t exactly allowed.
01,October 2,It is too little.
01,September 26,It’s hard enough to be good in the regular way.
01,May 23,Elizabeth asked if I had been to Buckingham Palace to have tea with the king.
01,May 9,"Mother says it is all very well to laugh at Canadian place names, but remember, we come from a country that has places like “Wigglesworth.”"
01,May,Auntie Millie cried when we left.
01,August 10,A Beating from the Sky I’m writing this in bed.
01,February 11,She didn’t even want to hear my side of the story.
01,May 2,It made me angry.
01,June 12,Chivers is just fine.
01,May 22,"Then she and Auntie Millie went laugh, laugh, laugh in a perfectly ROTTEN way."
01,May 3,"I had a dream about riding a horse, except it was riding across the ocean."
01,September 28,The Germans found out and they put her in prison and then they shot her.
01,October 10,Why does church make me get the giggles?
01,November 17,Trapped!
01,July 22,"Our jelly is a beautiful colour, it isn’t one bit cloudy and it jelled perfectly."
01,September 17,Harry thought this was a great idea.
01,December 20,We started laughing so hard we started crying and the twins looked at us as though we were completely round the twist.
01,June 12,There was a smudge on the bottom of the page that is a pawprint.
01,June 17,It was children and animals.
01,November 2,"The person in house number two opens their door, looks, closes their door."
01,July 16,That’s the very word he used.
01,October 16,"I would like to say, “I don’t want to share water with traitors.” But I don’t think I’ll be able to manage it."
01,may,It was carols and the Christmas story.
01,July 18,One funny thing: Mrs. Muller told everyone that we wouldn’t be mentioning this to Mr. Muller.
01,may,Now I know what Mother was mysteriously knitting!
01,October 15,And they laughed!
01,June 25,Sir Lancelot William has rescued me.
01,November 11,Moving Day Mr. Ambrose moved in today.
01,January 12,Then we soaked a sheet in carbolic and laid it on the table.
01,May 10,It is very foggy.
01,May 19,He gave us huge hugs and pretended not to know me because I was so grown-up and Mother cried a little bit.
01,September 15,This morning somebody had written “Britishers Go Home” in the sand.
01,October 15,At tea Dad announced that we’re moving to town.
01,June 8,"Also, she doesn’t like children."
01,May 11,Land ahoy!
01,November 12,Extinction Mystery solved.
01,December 6,"Besides, what would rhyme with it?"
01,July 2,"Dad grabbed her round the waist, even though she was holding Baby Jack."
01,November 23,Nyla is a pain in the you know where.
01,"January 3, 1927",This means coming to school early and lighting the stove.
01,August 7,He was white as milk.
01,June 17,Elizabeth said that was a perfect description of Nyla.
01,December 13,If you go around asking your parents for permission then you deserve what you get.)
01,December 8,Still no idea for A. I tried the dictionary again.
01,May 15,I wish I COULD hang upside down in the baggage car.
01,June 16,Good News Day We’re going to the Chautauqua after all!
01,April 12,"Elementary, My Dear Watson Snow day!"
01,July 2,Then we went to the Mullers’ barn for a dance.
01,June 12,She told me that there is a new family at 107 Halley Road and they yell a lot.
01,May 3,"He was nice, though."
01,June 17,"Whilst the parade was on, men were putting up a big brown tent in the field next to the school."
01,May 12,NOT like the seasickness rocking of the ship.
01,January 23,I can still remember how to milk.
01,March 12,I think I’ll stay here forever.
01,July 17,Perfect.
01,May 13,(They forgot to say cats.)
01,May,What should I do?
01,March 12,"But I rue the day, the hour and the minute I got the idea to decorate my box like the sky."
01,May 19,"I thought this was a shed for animals but I’m glad I didn’t say so, because it is their real house!"
01,June 14,I asked Elizabeth what it was and she said the word.
01,August 28,Not that I would like Wilson Abernathy to fall for me.
01,May 2,But Mother said no.
01,August 17,I used caragana leaves and string.
01,May,There is an upstairs with three bedrooms.
01,May 2,They are going to Manitoba.
01,January 4,Then I collect up the ink bottles and put them on the stove to thaw.
01,November 10,He is quite old.
01,September 8,And I jumped in without thinking and said that I had seen it too and wasn’t it funny when Charlie Chaplin pours pudding sauce all over that man’s hat?
01,July 25,So she sent me to the neighbour’s field to collect meadow muffins.
01,July 2,"There were raisin buns in a ring, and cinnamon buns (Harry and I like to unwind cinnamon buns as we eat them, which saves the best sugar bit for last; Elizabeth and William like to take bites with every part at once; Gladys just likes to eat hers as fast as possible any which way), doughnuts, ginger cookies, molasses cookies and railroad cake."
01,May 14,"Or living on it, like Catharine."
01,May 16,Flat as a table.
01,May 27,This is fun.
01,May 9,"He looks lovely, so polished and clean with a perfect black beard."
01,January 23,"Somewhere they are growing up, waiting to meet us."
01,August 7,He was there.
01,May 20,"And Mother, of course, isn’t saying."
01,May 18,This line is called the Canadian Pacific.
01,June 21,I heard Mother telling Dad.
01,September 28,Ralph Battrum and Lars Hansen were away too.
01,May 22,Then she said that if she and Dad had stopped with William they would have felt like perfect parents.
01,October 1,I think he had better give up his plan to be an anarchist.
01,September 27,Mother has been an egg lady.
01,September 7,The best thing was riding Dot.
01,August 17,I think I’ll go live in the wilderness.
01,October 16,Tonight is bath night.
01,December 19,I’m writing this in bed.
01,May 13,This is the booklet that tells us everything we need to know.
01,August 29,It was lovely.
01,June 23,He sat on my lap all evening and held onto my ear.
01,June 8,Of course Mother got all excited about this.
01,February 16,I got in trouble with Miss Hutchinson because I was showing Elizabeth about smelling through one nostril and then the other.
01,September 7,First Day of School Finally!
01,August 7,He is a sneak and a loathsome vermin.
01,July 28,It is going to be strange in Canada with no relatives.
01,January 23,I would rather have my Dad and no pictures or fried chicken than Elizabeth’s stern father.
01,June 8,Is that a kind-of-old cardigan or a really-old frock?
01,May 23,Her name is Ruby.
01,July 15,Flying all the way to Stanton.
01,August 18,She has very soft lips and already I love her.
01,August 7,"But then after tea I went to the outhouse and there was William, behind it, vomiting."
01,August 25,It was swell.)
01,March 12,He’s a grown-up man.
01,March,Three days until my birthday.
01,August 16,Mother says I’m too young and she doesn’t want me to look like a flapper.
01,August 25,Aren’t we more likely to get infections if we have bloody wounds on us?
01,December 19,(Of course it was really Bill Bowler the butcher but I didn’t tell her that.)
01,October 29,They know we’re going to be at the Mullers’ getting our costumes ready.
01,December 9,A’s for above Where the bright star is glowing.
01,May 19,In the barn are chickens and a cow.
01,July 15,O frabjous day.
01,November 5,He was reading the paper.
01,March 15,Mr. Gilmour made it.
01,August 18,Harry said could he gallop and Mr. Burgess said he wasn’t ready yet and besides he had his doubts about whether Dot could gallop.
01,March 3,The sound of scissors cutting into hair is a delicious sound.
01,May 10,Looking at the wake makes your mind go peculiar like this.
01,May 10,Probably resourceful Catharine would knit with two twigs and a bit of grass or something.
01,August 7,They were all carrying gopher tails and waiting to collect their money from Mr. Burgess.
01,May 16,He didn’t need to say it.
01,April 14,Mr. Nygaard thinks I need to come straight away and the snow is getting heavier by the minute.
01,May,I’ll bet that gopher has gone back underground.
01,"May 1, 1926","Secret promise: When I grow up I’m not going to forget what it was like being a child, like almost all grown-ups seem to."
01,September 3,She is pretty and kind and interesting and she made me feel like somebody.
01,June 17,The animals started off with costumes but mostly they got rid of them by the end.
01,May 21,"He wanted to be riding the range in Canada, not serving in a shop."
01,March 21,We can’t tell Miss Hutchinson because that would be telling.
01,May 7,You think you would be happy to die.
01,December 6,Ralph asked if they could do Cowboy Christmas again.
01,May 7,The weather is still blowy and wet.
01,October 2,It is a wonder.
01,December 13,(Elizabeth and Florence and I wondered why Nyla even asked her mother.
01,September 8,So then I said that I had seen it in London before we came here.
