chapter_id,date,sentence
ch1,"October 6th, 1783","They’d been into the whiskey, I could tell, never mind that it was first thing in the morning."
ch7,"April 6th, 1784",Jamie is snoring companionably beside me.
ch4,"January 1st, 1784",The fever has gone!
ch3,"December 1st, 1783","I’m very glad, because it was the quilt from my bed."
ch2,"November 1st, 1783","“Surging all the way to the sea,” Father said as he stood beside me, staring at it."
ch5,"February 1st, 1784",It seemed to take forever.
ch6,"March 3rd, 1784",I’ve always loved maple syrup making time.
ch1,"October 6th, 1783",Thank goodness John is with us or we would have lost our way for certain.
ch1,"October 6th, 1783",It’s fortunate indeed that Laddie is such a good-natured dog.
ch3,"December 1st, 1783","The German families had the best custom of all, I think."
ch12,"September 6th, 1784",Father came home with a basket full of fish last night and we had boiled fish for dinner.
ch1,"October 6th, 1783","It is very good of him to do so, as his family will have to camp here and wait for him to return before they go on."
ch1,"October 6th, 1783","One old lady passed me by just now and muttered “Tory cowards” under her breath, but not so much under her breath that I could not hear."
ch1,"October 6th, 1783","John showed us how to clean them, then cook them by burying them in the ashes of our fire until the flesh separated off the bones."
ch3,"December 1st, 1783",We have a barrel of salt pork sitting outside the door (what joy!)
ch1,"October 6th, 1783",The strangest thing.
ch2,"November 1st, 1783",It is very crowded and dirty.
ch10,"July 2nd, 1784",I saw Mother relax then.
ch8,"May 2nd, 1784",I collected dandelion greens for a salad and Mother boiled fish with potatoes and turnips and some of Grannie’s herbs.
ch3,"December 1st, 1783",I told her that proves he’s sweet on her.
ch1,"October 6th, 1783",I started to run toward them but the sound of Ned Bolton’s voice stopped me as surely as if he had reached out and struck me.
ch1,"October 6th, 1783","He started to chase after it, but Jamie whistled him off."
ch2,"November 1st, 1783","Thank goodness it is no longer raining, but the weather is much colder."
ch1,"October 6th, 1783",I was right to worry about the waves.
ch9,"June 1st, 1784","When we reach the beginning of the rapids, we passengers all disembark and take whatever is most precious to us, in case one of the boats does tip."
ch12,"September 6th, 1784","I could not stop my tongue from wagging, asking him how Hannah was, did her family have their cabin built yet, and a thousand other questions, not to mention, how did he ever get a horse and from where?"
ch1,"October 6th, 1783","There is a dog sitting at the edge of our campsite, staring at us."
ch2,"November 1st, 1783",He must get there before the river begins to freeze up.
ch11,"August 2nd, 1784","Just imagine, next spring we will have lilacs in the doorway again."
ch1,"October 6th, 1783",She looks so puzzled every time she hiccups that I can’t help but laugh at her.
ch10,"July 2nd, 1784","Angus and Duncan will help us get our place built, then they will build shanties of their own on their properties."
ch12,"September 6th, 1784","I will tell of the bee tomorrow, and also of all the other good things that happened."
ch1,"October 6th, 1783",Father climbed up and helped Mother and Grannie up beside him.
ch2,"November 1st, 1783",There’s no way I will ever forget what happened.
ch10,"July 2nd, 1784","I do that and then pull them through the hatchel to comb the stalks out and just leave the fibre, then Grannie spins it."
ch8,"May 2nd, 1784",It is reassuring to see all the supplies that are being sent along with us.
ch2,"November 1st, 1783",Poor baby!
ch2,"November 1st, 1783",His name is Duncan.
ch1,"October 6th, 1783","Oh, how I hope we can travel up to Canada together."
ch12,"September 6th, 1784","Best of all, Hannah and her family brought their tent and are staying over."
ch2,"November 1st, 1783","Mrs. Livingstone, whose family lives just a few cabins away, came over this morning with a crock of yeast starter so that we can make our own bread."
ch1,"October 6th, 1783","I want to write, though."
ch4,"January 1st, 1784",(Hannah told me this morning that he had.)
ch1,"October 6th, 1783",I think Grannie is getting provoked at Mother.
ch3,"December 1st, 1783",Most of the others are boys.
ch4,"January 1st, 1784",Others are talking that way as well.
ch13,"October 3rd, 1784",I’m sure most of the fish high-tailed it out of there in the first five minutes.
ch3,"December 1st, 1783","I am grateful to your Mother, Mary, for letting me have that blanket."
ch9,"June 1st, 1784",It is very interesting.
ch12,"September 6th, 1784",Just when things were beginning to go well — how could I be so stupid!
ch9,"June 1st, 1784",The summer is wearing on and they have not yet finished surveying the lots.
ch8,"May 2nd, 1784",I only understand that I have but one threadbare dress and my coat is in tatters.
ch6,"March 3rd, 1784","Now, instead of grumbling, people are beginning to make plans and even look forward to our journey upriver."
ch2,"November 1st, 1783",We walk all day with only a brief stop for a cold meal.
ch1,"October 6th, 1783",And wildcats.
ch1,"October 6th, 1783",We found ourselves standing right on the edge.
ch3,"December 1st, 1783",Nor do we have a bootmaker here to make us new boots when the ones we are wearing give out.
ch1,"October 6th, 1783",They tied his hands to the pommel and whipped the mule forward.
ch10,"July 2nd, 1784","Also, I am very 
very
 tired."
ch2,"November 1st, 1783","They were sent to a terrible prison near Albany and found themselves sharing a tiny, dark hole of a cell there."
ch10,"July 2nd, 1784",It is most amusing to watch them together.
ch13,"October 3rd, 1784",Poor Duncan.
ch5,"February 1st, 1784",The weather is truly horrid.
ch1,"October 6th, 1783",Lizzie Crane’s father was one of them.
ch12,"September 6th, 1784",The men were all laughing and shouting to each other as they began to gather up all the brushwood and small trees that Father and Angus and Duncan had cut down.
ch1,"October 6th, 1783",It is strangely soothing.
ch10,"July 2nd, 1784",I hope Father will put in windows.
ch6,"March 3rd, 1784",She fancies herself the best judge anywhere of when the syrup has reached the right stage.
ch1,"October 6th, 1783",We are all too exhausted to move.
ch5,"February 1st, 1784","I’m trying to get back into her good graces by tending to the evening stew and looking very virtuous and industrious, but I do not think it is working."
ch5,"February 1st, 1784",Normally we would spend the winter knitting the wool that Grannie spun.
ch11,"August 2nd, 1784",It makes me feel quite light inside.
ch2,"November 1st, 1783",We will set out with the Rosses for Sorel.
ch1,"October 6th, 1783","Dear Canada: With Nothing But Our Courage
October 1783
They burned the schoolhouse down!"
ch1,"October 6th, 1783","“Go after him!” Mother cried, but I already was."
ch1,"October 6th, 1783","There’s supper to be made,” Grannie chided her."
ch14,"November 1st, 1784","I have come to the end of the pages in this journal, but my birthday is next month and I will ask Father if he could find a new one for me."
ch1,"October 6th, 1783","Jamie is running wild, but she has not said one word to him."
ch5,"February 1st, 1784",I’ve heard the stories of those who have tried.
ch1,"October 6th, 1783",The lake is huge and the waves are enormous and the boat we are sailing in is so very small!
ch5,"February 1st, 1784",I whipped around and there was Danny grinning like a great booby.
ch5,"February 1st, 1784",Even Grannie was speechless.
ch1,"October 6th, 1783",They are going to settle in a big town in Québec called Montréal.
ch13,"October 3rd, 1784",I knew that many of the soldiers’ families have been coming up during this past summer and I supposed his might as well.
ch2,"November 1st, 1783",She fusses and will not feed or eat the warm sops that Mother makes for her.
ch1,"October 6th, 1783","It will not last the night, though."
ch3,"December 1st, 1783","The whole cabin smells of hot, wet wool."
ch2,"November 1st, 1783","I keep thinking of the way she used to gurgle and smile at me …
I have to stop writing."
ch8,"May 2nd, 1784","They did give him ammunition, though, so he will be able to hunt."
ch9,"June 1st, 1784","When we put in to shore for our noon meal we are immediately attacked by the black flies and mosquitoes, and the flies descend in such droves to cover our food that it is hard to take a bite without crunching down on one of them."
ch2,"November 1st, 1783",More good news is that the cabin we have been allotted is very close to the Ross family’s.
ch1,"October 6th, 1783",But maybe it is not.
ch5,"February 1st, 1784","He did lecture me soundly, however, and made a point of walking home with me after school to tell the whole family about my “unseemly” behaviour."
ch1,"October 6th, 1783","“Thank you for trying, Mary,” she said to me, “but you’d better give her back."
ch2,"November 1st, 1783","We attempt to dry our clothes out by the fire, but they are still damp in the morning."
ch2,"November 1st, 1783","We are making do, that’s what is important."
ch1,"October 6th, 1783","Mother and Father were sleeping under a tarpaulin with baby Margaret, and Grannie was tucked away in a kind of tent that Father sets up for her."
ch8,"May 2nd, 1784","We had been promised more clothing, too, but it seems that the difficulties of distributing clothing are too great."
ch7,"April 6th, 1784",I just discovered it yesterday.
ch7,"April 6th, 1784",I held my breath while the women took their places and set the younger girls to threading needles.
ch1,"October 6th, 1783",I had not realized how much his presence reassured me.
ch1,"October 6th, 1783",Poor little Jamie will be loaded down with as much as he can bear.
ch1,"October 6th, 1783","He admits now that he has been very worried as to whether we were on the right track or not, and John knows this country."
ch2,"November 1st, 1783","Then just keep your eyes lowered and walk out with me.”
“We never believed it would work, but it did!” Angus said."
ch2,"November 1st, 1783",It must be so hard for him to see all of us so happy when he had to leave his family behind in Albany — but something tells me there is more to it than that.
ch1,"October 6th, 1783","Mrs. Ross is particularly distressed, Hannah says."
ch3,"December 1st, 1783",No wonder Mother is so sad.
ch1,"October 6th, 1783",An Indian has just walked into our campsite!
ch1,"October 6th, 1783",They lifted my dear father up and sat him on a mule — backwards!
ch5,"February 1st, 1784","Just as suddenly, it slipped out of her grasp and fell to the floor."
ch3,"December 1st, 1783",We will take as many as we can over to the Livingstones’ to reciprocate for the fine Christmas dinner they gave us.
ch1,"October 6th, 1783",I’ve never heard them argue so before.
ch13,"October 3rd, 1784","“No,” he answered, and would say no more."
ch1,"October 6th, 1783",She said she had to make me take notice of her because her mother had threatened to muzzle her if she didn’t be quiet.
ch12,"September 6th, 1784",Jamie has been set to winding the wool onto the niddy noddy as she spins it.
ch7,"April 6th, 1784",The whole hall was packed and shaking.
ch14,"November 1st, 1784",They have brought three rabbits that they snared.
ch9,"June 1st, 1784",Bloodroot for sore noses.
ch2,"November 1st, 1783",Grannie was able to make a nice mush for Margaret but she was so fussy she wouldn’t eat it.
ch11,"August 2nd, 1784",No sooner were we settled in than Grannie insisted on planting her lilac bush.
ch2,"November 1st, 1783","Instead, when she unrolled her bundle, there were two dresses and shawls in there."
ch3,"December 1st, 1783","It made my heart ache to look at her, it just brought back so many thoughts of baby Margaret."
ch10,"July 2nd, 1784","It was very amusing to see him nip them off so delicately, one by one."
ch4,"January 1st, 1784",The fever seems to be lessening.
ch12,"September 6th, 1784","But there is something about him … Even when he’s dancing, his mouth is laughing, but his eyes are sad."
ch3,"December 1st, 1783","There are quite a few Scottish families here, so Hannah and I and the other Scottish children will be going singing at the doors of every house, just as we used to do in Albany."
ch12,"September 6th, 1784","Mind you, Hannah is not sleeping in it."
ch2,"November 1st, 1783",Most of its leaves have fallen off and I’m afraid it might be dead.
ch12,"September 6th, 1784",We must have boundless quantities of food on hand.
ch5,"February 1st, 1784",My life has settled down into such a routine — sometimes I even forget that I haven’t lived here forever.
ch1,"October 6th, 1783",She has the most beautiful long curly hair.
ch1,"October 6th, 1783","In fact, she was always singing, and we loved to sing with her."
ch1,"October 6th, 1783",I had to tell him a story to settle him back down.
ch2,"November 1st, 1783",But cold.
ch3,"December 1st, 1783","I just stood in the doorway and sniffed until Grannie gave me a push and said, “What ails you, child?"
ch1,"October 6th, 1783","I feel like a feather bed that’s been shaken out, turned upside down and jumped on."
ch2,"November 1st, 1783",I was very glad to hand her back to Mother to be fed this evening.
ch2,"November 1st, 1783",I am frightened for her.
ch1,"October 6th, 1783","There are five sailors manning the boat: four to row and one to steer, but the sailors are happy because the wind is so strong that they can run with the sail up and do not have to row."
ch13,"October 3rd, 1784","Now that there is not so much work to do in the garden, I have been knitting and knitting and knitting."
ch9,"June 1st, 1784","(And Laddie, when Grannie is not looking.)"
ch1,"October 6th, 1783",She sounded as if she had been frightened worse than I.
