chapter_id,date,sentence,neutral,positive,negative
ch8,Decembre 1666,"“Well, well.",1,0,0
ch9,Janvier 1667,Strands of his hair were stuck to his cheek.,1,0,0
ch5,Septembre 1666,"I would wait as well, I answered, and I turned my back on the boat.",1,0,0
ch6,Octobre 1666,My income from my business as a merchant is more than good.,1,0,0
ch5,Septembre 1666,I excused myself and went down to my cabin to rest and to think.,1,0,0
ch3,Juillet 1666,"As frightened as I was, it was somehow difficult to tear myself away from the sight of something so powerful.",1,0,0
ch4,Août 1666,"I should take Catherine’s place, he said.",1,0,0
ch10,Février 1667,You would think he was the King himself for the fuss that was being made.,1,0,0
ch10,Février 1667,"There is a fierce snowstorm, and no one has come in today, so I have time to write here by the fire.",1,0,0
ch9,Janvier 1667,"She said she would bring us anything we needed, and would pray for Monsieur Aubry.",1,0,0
ch8,Decembre 1666,I will say a prayer for his quick recovery.,1,0,0
ch2,Juin 1666,The journey to the ship and La Rochelle tomorrow would begin early.,1,0,0
ch5,Septembre 1666,It made the water come into my mouth and made me think of home.,1,0,1
ch13,Mai 1667,"Papa said once that a dragonfly is the perfect symbol of life, and indeed, of one’s search for knowledge and understanding.",1,0,0
ch2,Juin 1666,"“No, Minette,” I said sadly.",1,0,0
ch8,Decembre 1666,"It is like some small stronghold under constant siege, but there is la Soeur Bourgeoys’s school, and the hospital, and all the houses.",1,0,0
ch10,Février 1667,I did not think I could.,1,0,0
ch2,Juin 1666,They laugh and tease each other and make jokes about the husbands they will wed. How friendly they all are.,1,0,0
ch7,Novembre 1666,An unspeakable thing.,1,0,0
ch6,Octobre 1666,I wept and so did she.,1,0,0
ch6,Octobre 1666,"“It is all behind you now, 
ma chère
.",1,0,0
ch5,Septembre 1666,Some of the sisters were working in the garden nearby.,1,0,0
ch5,Septembre 1666,"She had tears in her eyes now, tears of shame at how she had been treated.",1,0,0
ch6,Octobre 1666,Kateri kissed her father good-bye.,1,0,0
ch8,Decembre 1666,"Although he was flushed and looked tired, there was a happiness in his expression that I had not seen before.",1,0,0
ch1,Mai 1666,I called Madeleine a sheep.,1,0,0
ch8,Decembre 1666,Most Mohawk women do not want to marry them.,1,0,0
ch5,Septembre 1666,"The little boats stopped at the shore, sailors tossed ropes to men waiting there, and we were all helped out.",1,0,0
ch2,Juin 1666,How my fingers ached to turn the pages.,1,0,0
ch1,Mai 1666,Some day I may have a daughter.,1,0,0
ch2,Juin 1666,"He remained on the exact opposite side of the ship, on the left when facing toward the front of the ship.",1,0,0
ch4,Août 1666,"Kateri smells nothing either, but Monsieur Aubry agrees with Séraphin.",1,0,0
ch2,Juin 1666,"Her eyes are dark, and she has her father’s smile.",1,0,0
ch1,Mai 1666,Servants!,1,0,0
ch13,Mai 1667,"I paused then, and ran back up the stairs to my room.",1,0,0
ch13,Mai 1667,"Does she not, Monsieur Aubry?” I admit I was not listening at all.",1,0,0
ch2,Juin 1666,"“You have this small cabin,” said Madame Laurent, leading us back.",1,0,0
ch2,Juin 1666,"I want to run!” Louise, wrapped in her shawl, kissed us one last time before we climbed into the carriage.",1,0,1
ch2,Juin 1666,She is half French and half Mohawk.,1,0,0
ch7,Novembre 1666,"Although it was windy and cold, I thought the snow made everything look clean and beautiful.",1,0,0
ch10,Février 1667,There will be fresh fish for supper tonight.” There was.,1,0,0
ch8,Decembre 1666,"“Hélène, I know you had only your papa, and he may not have spoken to you of the responsibilities of marriage,” she began carefully.",1,0,0
ch6,Octobre 1666,Monsieur Deschamps has made a proposal of marriage to me.,1,0,0
ch4,Août 1666,The whales dived into the water and disappeared.,1,0,0
ch3,Juillet 1666,It would be a fitting testimony to him.,1,0,0
ch5,Septembre 1666,"Monsieur Deschamps pressed me again, this time through Madame Laurent as I took the air on deck with Kateri.",1,0,1
ch5,Septembre 1666,Everything I owned was here in this little cabin.,1,0,0
ch1,Mai 1666,She does love to wander.,1,0,0
ch5,Septembre 1666,Then my temper rose.,1,0,0
ch1,Mai 1666,I am ashamed to say I enjoyed the walk from our house to the church in our village of Reignac.,1,0,0
ch9,Janvier 1667,I told her the horrible news through the open window.,1,0,0
ch13,Mai 1667,Séraphin and Kateri were so happy for us.,1,0,0
ch4,Août 1666,It rained hard early this morning.,1,0,0
ch8,Decembre 1666,"“Oui, madame,” he said cheerily.",1,0,0
ch6,Octobre 1666,"“In greater privacy,” he said with a small laugh.",1,0,0
ch8,Decembre 1666,Perhaps he has worsened.,1,0,0
ch5,Septembre 1666,I strained my ears but could not hear them.,1,0,0
ch8,Decembre 1666,Sometimes he needs to return.” We were both quiet for a while as we thought of what she had said.,1,0,0
ch6,Octobre 1666,The Lecôtés were surely kind.,1,0,0
ch5,Septembre 1666,"We may only pray a few might be persuaded to change their minds, as is their right, and settle here.” Monsieur Deschamps made his apologies, and led us on to an inn where we were to take refreshment.",0,0,1
ch8,Decembre 1666,"It seemed colder here, but that is always the way with houses in winter when they are left empty.",1,0,0
ch4,Août 1666,I was unable to sleep well tonight.,1,0,0
ch12,Avril 1667,"Tante Barbe was seized with the need to clean everything, and so I tied a scarf over my hair and helped her.",1,0,0
ch9,Janvier 1667,"If Kateri went out, then others might catch the smallpox from her.",1,0,0
ch10,Février 1667,Kateri went into the kitchen to see the kittens where they and Minette had a nest near the fire.,1,0,0
ch1,Mai 1666,One was all the way from New France.,1,0,0
ch12,Avril 1667,Do not argue.,1,0,0
ch7,Novembre 1666,"He, though, hating the cold beyond all reason, merely went back to France.",1,0,1
