chapter_id,date,sentence,neutral,positive,negative
ch1,"October 6th, 1783","They’d been into the whiskey, I could tell, never mind that it was first thing in the morning.",1,0,0
ch7,"April 6th, 1784",Jamie is snoring companionably beside me.,1,0,0
ch4,"January 1st, 1784",The fever has gone!,1,0,0
ch3,"December 1st, 1783","I’m very glad, because it was the quilt from my bed.",1,0,0
ch2,"November 1st, 1783","“Surging all the way to the sea,” Father said as he stood beside me, staring at it.",1,0,0
ch5,"February 1st, 1784",It seemed to take forever.,1,0,0
ch6,"March 3rd, 1784",I’ve always loved maple syrup making time.,1,1,0
ch1,"October 6th, 1783",Thank goodness John is with us or we would have lost our way for certain.,1,1,0
ch1,"October 6th, 1783",It’s fortunate indeed that Laddie is such a good-natured dog.,1,0,0
ch3,"December 1st, 1783","The German families had the best custom of all, I think.",1,0,0
ch12,"September 6th, 1784",Father came home with a basket full of fish last night and we had boiled fish for dinner.,1,0,0
ch1,"October 6th, 1783","It is very good of him to do so, as his family will have to camp here and wait for him to return before they go on.",1,0,0
ch1,"October 6th, 1783","One old lady passed me by just now and muttered “Tory cowards” under her breath, but not so much under her breath that I could not hear.",0,1,1
ch1,"October 6th, 1783","John showed us how to clean them, then cook them by burying them in the ashes of our fire until the flesh separated off the bones.",1,0,0
ch3,"December 1st, 1783",We have a barrel of salt pork sitting outside the door (what joy!),1,0,1
ch1,"October 6th, 1783",The strangest thing.,1,0,0
ch2,"November 1st, 1783",It is very crowded and dirty.,1,0,0
ch10,"July 2nd, 1784",I saw Mother relax then.,1,0,0
ch8,"May 2nd, 1784",I collected dandelion greens for a salad and Mother boiled fish with potatoes and turnips and some of Grannie’s herbs.,1,0,0
ch3,"December 1st, 1783",I told her that proves he’s sweet on her.,1,0,0
ch1,"October 6th, 1783",I started to run toward them but the sound of Ned Bolton’s voice stopped me as surely as if he had reached out and struck me.,1,0,0
ch1,"October 6th, 1783","He started to chase after it, but Jamie whistled him off.",1,0,0
ch2,"November 1st, 1783","Thank goodness it is no longer raining, but the weather is much colder.",1,0,0
ch1,"October 6th, 1783",I was right to worry about the waves.,0,0,1
ch9,"June 1st, 1784","When we reach the beginning of the rapids, we passengers all disembark and take whatever is most precious to us, in case one of the boats does tip.",1,0,1
ch12,"September 6th, 1784","I could not stop my tongue from wagging, asking him how Hannah was, did her family have their cabin built yet, and a thousand other questions, not to mention, how did he ever get a horse and from where?",0,1,0
ch1,"October 6th, 1783","There is a dog sitting at the edge of our campsite, staring at us.",1,0,0
ch2,"November 1st, 1783",He must get there before the river begins to freeze up.,1,0,0
ch11,"August 2nd, 1784","Just imagine, next spring we will have lilacs in the doorway again.",0,1,0
ch1,"October 6th, 1783",She looks so puzzled every time she hiccups that I can’t help but laugh at her.,1,0,0
ch10,"July 2nd, 1784","Angus and Duncan will help us get our place built, then they will build shanties of their own on their properties.",1,1,0
ch12,"September 6th, 1784","I will tell of the bee tomorrow, and also of all the other good things that happened.",1,0,0
ch1,"October 6th, 1783",Father climbed up and helped Mother and Grannie up beside him.,1,0,0
ch2,"November 1st, 1783",There’s no way I will ever forget what happened.,1,0,0
ch10,"July 2nd, 1784","I do that and then pull them through the hatchel to comb the stalks out and just leave the fibre, then Grannie spins it.",1,0,0
ch8,"May 2nd, 1784",It is reassuring to see all the supplies that are being sent along with us.,1,0,0
ch2,"November 1st, 1783",Poor baby!,1,0,0
ch2,"November 1st, 1783",His name is Duncan.,1,0,0
ch1,"October 6th, 1783","Oh, how I hope we can travel up to Canada together.",0,1,0
ch12,"September 6th, 1784","Best of all, Hannah and her family brought their tent and are staying over.",0,1,0
ch2,"November 1st, 1783","Mrs. Livingstone, whose family lives just a few cabins away, came over this morning with a crock of yeast starter so that we can make our own bread.",1,1,0
ch1,"October 6th, 1783","I want to write, though.",1,0,0
ch4,"January 1st, 1784",(Hannah told me this morning that he had.),1,0,0
ch1,"October 6th, 1783",I think Grannie is getting provoked at Mother.,1,0,0
ch3,"December 1st, 1783",Most of the others are boys.,1,0,0
ch4,"January 1st, 1784",Others are talking that way as well.,1,0,0
ch13,"October 3rd, 1784",I’m sure most of the fish high-tailed it out of there in the first five minutes.,1,0,0
ch3,"December 1st, 1783","I am grateful to your Mother, Mary, for letting me have that blanket.",1,0,0
ch9,"June 1st, 1784",It is very interesting.,1,0,0
ch12,"September 6th, 1784",Just when things were beginning to go well — how could I be so stupid!,1,0,0
ch9,"June 1st, 1784",The summer is wearing on and they have not yet finished surveying the lots.,0,0,1
ch8,"May 2nd, 1784",I only understand that I have but one threadbare dress and my coat is in tatters.,0,0,0
ch6,"March 3rd, 1784","Now, instead of grumbling, people are beginning to make plans and even look forward to our journey upriver.",0,1,0
ch2,"November 1st, 1783",We walk all day with only a brief stop for a cold meal.,0,0,1
ch1,"October 6th, 1783",And wildcats.,1,0,0
ch1,"October 6th, 1783",We found ourselves standing right on the edge.,1,0,0
ch3,"December 1st, 1783",Nor do we have a bootmaker here to make us new boots when the ones we are wearing give out.,0,0,1
ch1,"October 6th, 1783",They tied his hands to the pommel and whipped the mule forward.,1,0,0
ch10,"July 2nd, 1784","Also, I am very 
very
 tired.",1,0,0
ch2,"November 1st, 1783","They were sent to a terrible prison near Albany and found themselves sharing a tiny, dark hole of a cell there.",1,0,0
ch10,"July 2nd, 1784",It is most amusing to watch them together.,1,0,0
ch13,"October 3rd, 1784",Poor Duncan.,1,0,0
ch5,"February 1st, 1784",The weather is truly horrid.,1,0,0
ch1,"October 6th, 1783",Lizzie Crane’s father was one of them.,1,0,0
ch12,"September 6th, 1784",The men were all laughing and shouting to each other as they began to gather up all the brushwood and small trees that Father and Angus and Duncan had cut down.,0,1,0
ch1,"October 6th, 1783",It is strangely soothing.,1,0,0
ch10,"July 2nd, 1784",I hope Father will put in windows.,0,1,0
ch6,"March 3rd, 1784",She fancies herself the best judge anywhere of when the syrup has reached the right stage.,1,0,0
ch1,"October 6th, 1783",We are all too exhausted to move.,1,0,0
ch5,"February 1st, 1784","I’m trying to get back into her good graces by tending to the evening stew and looking very virtuous and industrious, but I do not think it is working.",1,0,0
ch5,"February 1st, 1784",Normally we would spend the winter knitting the wool that Grannie spun.,1,0,0
ch11,"August 2nd, 1784",It makes me feel quite light inside.,1,0,0
ch2,"November 1st, 1783",We will set out with the Rosses for Sorel.,1,0,0
ch1,"October 6th, 1783",They burned the schoolhouse down!,1,0,0
ch1,"October 6th, 1783","“Go after him!” Mother cried, but I already was.",1,0,0
ch1,"October 6th, 1783","There’s supper to be made,” Grannie chided her.",1,0,0
ch14,"November 1st, 1784","I have come to the end of the pages in this journal, but my birthday is next month and I will ask Father if he could find a new one for me.",1,0,0
ch1,"October 6th, 1783","Jamie is running wild, but she has not said one word to him.",1,0,0
ch5,"February 1st, 1784",I’ve heard the stories of those who have tried.,1,0,0
