chapter_id,date,sentence,neutral,positive,negative
1,July 3,Then Hans cranked and the motor started and both boys jumped in and we were off.,1,0,0
1,November 17,I would hear their horses.,1,0,0
1,September 4,First thing I noticed was a sign on the school barn saying “No Girls Allowed.” I asked Elizabeth where the girls stable their horses.,1,0,0
1,July 27,There is an empty place in the house where Jack used to be.,1,0,0
1,August 3,Jam for Wages Dad has another job.,1,0,0
1,January 12,Accident There wasn’t any school this afternoon.,1,0,0
1,April 2,Mother said that she wished that birthdays ended at noon like,1,0,0
1,August 28,Her hair is perfect.,1,0,0
1,May,They have old Leaders piled up there.,1,0,0
1,May 7,But then I started to feel very green.,1,0,0
1,August 7,I feel really sad that William doesn’t have any friends.,1,0,0
1,September 3,Maybe that would be as good in stupid boy-thinking as killing gophers.,1,0,0
1,December 22,Present Plans Revised I’m better with paper and glue than with sewing.,1,0,0
1,October 1,Harry likes to hear about bombs and such.,1,0,0
1,May 16,It was the first time it had been just the two of us since England.,1,1,0
1,May 16,"Dad woke me up early and said, “Shhhh, keep your eyes closed.” Then he put on my shoes.",1,0,0
1,March,"isn’t spring in Saskatchewan, it is still blinking cold.)",0,0,1
1,Mars,The noisy family moved out of number 107.,1,0,0
1,March 25,I wish I’d never found the darn poem.,1,0,0
1,August 29,(Do parents like saying no?),1,0,0
1,August 25,Catharine has been captured by Indians.,0,0,1
1,March 2,Dad said anything that wouldn’t land us in jail or in the hospital.,1,0,0
1,October 21,I told them The Three Pigs and The Three Bears and a made-up story about chickens.,1,0,0
1,July 5,The Slew This morning the twins took all the lids off the stove and hid them.,1,0,0
1,May,This is good because at Uncle Alf’s Gladys was afraid of the outhouse.,1,0,0
1,May 16,It is very early and everything is different.,1,0,0
1,November 2,This makes the string knock on door number two.,1,0,0
1,September 8,Good riddance.,1,0,0
1,July 2,We got tangled up and fell over and then we couldn’t stand up because we were laughing so hard.,1,0,0
1,February 16,Now I smell like Miss Hutchinson.,1,0,0
1,May 18,I was a bit scared because I have never seen a Chinese person before and in Magnet magazine all the Chinese men have long moustaches and long knives.,0,0,1
1,August 18,"He called her a steady, reliable school horse.",1,0,0
1,December 17,I think colours would really help with arithmetic drills.),1,0,0
1,May 20,It is much harder than it looks.,1,0,0
1,July 16,Elizabeth and I were so mad that we could hardly keep quiet.,1,0,0
1,December 20,"“I think that my brother Alf Jones has turned out to be a bit of a bounder!” “Is there any more fruitcake?” Weatherall minor, the fat boy, enquired hopefully.",1,0,0
1,April 2,(The celery dishes are yellow glass and they pretended they were gold).,1,0,0
1,May 2,Soon we will all go to the dining room.,1,0,0
1,September 8,Then she just flounced away.,1,0,0
1,March 16,Nyla is acting all know-it-all about the spring description contest.,1,0,0
1,September 7,Mine is called a Red Monarch and it has a lovely picture of a lion on the front.,1,0,0
1,October 21,Before I finish writing this long sentence I want to hear the horses.,1,0,0
1,August 10,The only part of me that wasn’t freezing was my front on her back.,1,0,0
1,June 18,"Anyway, William and I are going to be the deep-sea diver brother-and-sister team and we’re going to discover many new kinds of fish and along the way we’ll pick up some sunken treasure to get the money for our expeditions.",1,0,0
1,April,At five o’clock Harry ordered us all to be executed and Mother said she would welcome the escape.,1,0,0
1,May 7,Then William.,1,0,0
1,June 17,Tomorrow the talent arrives and it really starts.,1,0,0
1,May,It was a tight fit.,1,0,0
1,may,It is called At the Back of the North Wind .,1,0,0
1,October 3,I did too.,1,0,0
1,May 27,"Two black-and-white, two grey, and one marmalade, just like Chivers.",1,0,0
1,August 25,"He says they say to each other, “Fee fi fo fum, I smell the blood of an Englishman.” Question about mosquitoes: Why?",0,0,1
1,August 17,Mother got very angry at me and she thought the swollen toe was from the wasps as well.,1,0,0
1,May 2,"On board the Ausonia, 4 o’clock We’re off.",1,0,0
1,May 10,But what if China is a trick too?,1,0,0
1,June 1,But he doesn’t do that part of the store.,1,0,0
1,July 24,Mrs. Muller won a prize for her quilt.,1,0,0
1,December 19,Then there was carol singing.,1,0,0
1,May 2,“Is that our ship?” “Where’s Frank?” “What are we stopping for?” “Who’s got the luggage?” It was like the Tower of Babel.,1,0,1
1,January 9,"I thought of the twelve-year-old boys I know, but I don’t think Jesus was messy and loud like them.",1,0,0
1,April 4,Bright eyes.,1,0,0
1,June 18,"There we were, floating along, and under us was a whole world, miles straight down of swimming, eating, attacking fish families, and jellyfish dancing.",1,0,0
1,April,Mother and Dad say there is no money for birthday presents this year.,1,0,0
1,December 6,"Like, “S is for snow, da dum, da dum, da dum.” And we have to make up the poems.",1,0,0
1,July 18,One egg covers a lot when it is broken.,1,0,0
1,May 22,I miss Grandad.,1,0,0
1,September 2,I’ll use the Magic Key Line Drawing and draw a picture of Dot’s head.,1,0,0
1,June 1,That’s what Canadians call cotton.,1,0,0
1,July 5,"We don’t know how to swim because we were only at the seaside once, with Auntie Lou, and it rained the whole time.",1,0,0
1,September 7,"Then we sang “The Maple Leaf Forever,” which is different.",1,1,0
1,July 15,How can I stand to wait a whole week and one day?,1,0,0
1,December 21,For William a pen-wiper.,1,0,0
1,March 7,I looked in the United Farm Women Cookbook for ideas and I am going to make jumbles biscuits and black-eyed Susan sandwiches.,1,0,0
1,June 16,He didn’t remember the Prince of Wales.,1,0,0
1,July 5,She did finally find twins and lids but she said I had to mind them for the afternoon whilst Baby Jack was napping.,1,0,0
1,October 2,Mr. Quigley said that the Bible said that manna was like wafers made with honey and we should think of the most delicious thing we could.,1,0,0
1,March 2,It is not dangerous.,1,0,0
1,October 18,"Nyla looked at it, looking down her nose the way she does, and said, “That’s an interesting style.",1,0,0
1,March 28,A New Week I take it back.,1,0,0
1,March 15,Here’s mine: The bright purple crocuses are blooming merrily in the pasture.,1,0,0
1,"January 3, 1927",Back to School 1927.,1,0,0
1,November 22,"Chocolate Bomb Today one of the little boys, Thorvald Berg, who is in grade one, put his tin pail of cocoa on the stove at school to heat up and he forgot to take the lid off a bit.",1,0,0
1,April 2,They wore their bathrobes and paper crowns and ordered us around.,1,0,0
1,May 12,Canadian trains are different.,1,0,1
1,June 1,First thing I saw in the store was William.,1,0,0
1,March 15,Welkin means sky.,1,0,0
