chapter_id,date,sentence
8,le 14 decembre 1666,This was the work area of a craftsman.
9,le 6 janvier,It has occurred to me that for the first time I have written of this place as home.
10,le 2 février 1667,Then I saw Monsieur Deschamps.
6,le 11 octobre 1666,Muskrat.
7,le 28 novembre 1666,A sign hung above the door announcing his profession: Monsieur Aubry Armurier .
5,le 23 septembre 1666,"Kateri values your friendship greatly.” I valued hers as well, I told him."
11,le 19 mars 1667,"I did not care for it at all, but it is impossible to disregard Tante Barbe’s commands and her tea."
5,le 3 septembre 1666,Kateri wove her garter and I worked at making cord.
9,le 6 janvier,I know one thing.
8,le 14 decembre 1666,The leather at the top was elk skin.
9,le 6 janvier,I had soup for him.
10,le 10 février 1667,She immediately put them on.
2,may,Perhaps another day.
13,le 4 mai 1667,"He handed me a packet, a letter from France."
6,le 4 octobre 1666,The sun was well up in the sky when she brought up a tray of food for me.
6,may,I took Minette from Kateri and glanced at Monsieur Aubry.
10,le 12 février 1667,"Peace will never come to New France as long as there is so much hatred, I fear."
13,le 2 mai 1667,"A long and horrible penance?” Perhaps she should send to France for two hair shirts, she cried."
2,le 23 juin 1666,"He misses his wife, I think."
9,le 6 janvier,I thanked le bon Dieu that no one else in Montréal had caught it.
10,le 2 février 1667,I could see la Soeur Bourgeoys and her friend Mademoiselle Mance just leaving the school.
3,le 9 juillet 1666,"As frightened as I was, it was somehow difficult to tear myself away from the sight of something so powerful."
2,may,"She arched up, warm and soft under my hand."
3,le 20 juillet 1666,Then I washed her face and hands and combed her hair.
10,may,"“You are wrong on the first count, but absolutely correct on the second, monsieur."
6,le 11 octobre 1666,I was certain.
1,may,"I am not so certain the cow is splendid, though."
1,may,"Then when they marry, there is a gift of money, or a cow or some chickens."
2,may,The gown suits me.
6,le 8 octobre 1666,"“I thought to go west,” Séraphin told me in the kitchen."
10,le 9 février 1667,I have cried and cried.
13,le 2 mai 1667,"“Bonjour , monsieur,” a tall man called as he walked towards us."
1,le 26 mai 1666,How fortunate that I keep bread and cheese in a tin inside the armoire in case Minette or I require food during the night.
7,le 23 novembre 1666,A party of men cutting wood outside the town were attacked by Indians.
12,le 14 avril 1667,"Sadly, I noticed that my best gown is no longer very presentable at all."
10,le 3 février 1667,She only said that one of the men should open the shutters.
1,le 10 mai 1666,She does love to wander.
6,le 3 octobre 1666,"They were not rude, only curious and welcoming."
5,le 17 septembre 1666,"I did not feel above them, only separate from them."
