chapter_id,date,sentence
06,December 1815,We shall be packing what we can soon — only our warmest clothes.
12,June 1816,"But I see that you have taken her in and shown her kindness, and am sure God will bless you for your acts.” Suddenly, dear diary, I saw Kate in such a different light."
04,October 1815,The sun shone and as we sat in the boat it seemed we had arrived in Paradise.
12,June 1816,"Our little cabin will be burned, my garden will be destroyed."
05,November 1815,"When I took my long flannel nightdress off, tiny bright white lights shot off from it in every direction."
12,June 1816,"But feelings in the Company run high.” He went on to say that when Miles Macdonell proclaimed that no pemmican could be taken from the area, the Nor’Westers believed it was a direct insult to them."
07,January 1816,Father and James followed White Loon’s father and brothers out to the hunt.
12,June 1816,"My father was a good man, but never recovered after the death of my mother, and I am afraid life has been difficult for Kate."
11,May 1816,Is it not up to me to retain the standards of our old life?
10,April 1816,"I wanted to ask questions, but it was obvious that we should not even have overheard and that the adults did not want to discuss this with the children."
05,November 1815,"Being on Lake Winnipeg was once again like being on the sea, it is so large."
05,November 1815,The settlers here dance what is called a Red River jig.
18,December 1816,But with what hope I leave your precious pages.
07,January 1816,We are sent to the river for water and have to carry the heavy water skins back and forth.
10,April 1816,"And with James, he maybe is too old for another mother."
08,February 1816,A strip of snow about 5 feet long is brushed off and iced down to make it slippery.
02,August 1815,"He says he needn’t listen to me and that God is bad, so he shall be bad too."
11,May 1816,Our plot runs straight back from the river.
05,November 1815,"James is very talented and can make rings, bracelets and necklaces."
05,November 1815,"It has been a dreadful journey, ten brutish days — but I get ahead of myself."
03,September 1815,"I mix flour, water and a little lard to make fresh bannock."
09,March 1816,"“I’m sure the Indians will be able to get out of their tipis, as they have no wooden doors to stop them."
05,November 1815,I understood right away that he wanted it.
11,May 1816,"“She was never after him,” he said."
03,September 1815,"We are twenty to a boat, and Kate somehow ended up in our boat."
12,June 1816,He wants us to wait for officials of the North West Company from Qu’Appelle.
03,September 1815,Our first day on the boats introduced us to almost all of these horrid things.
05,November 1815,"Nails are so hard to find here that when the York boats finish their trips they burn them entirely just to retrieve the nails.” “What have you got there?” I said to James, looking down at something he was holding behind his back."
