chapter_id,date,sentence
c07,"October 2, 1847","She sent Fanny home and took charge, ordering both me and Mrs. Lyons about."
c04,"July 3, 1847","Michael managed to post a letter, but still has heard nothing and says that he does not expect word for some time, as this is a large country and the distances are great."
c07,"October 2, 1847",I wonder if it will sizzle.
c05,"August 1, 1847","She and her husband have been in
 the country only three years."
c07,"October 2, 1847",He loved to tell stories on Hallow Eve about the spirit world and the fires that warmed wandering souls.
c04,"July 3, 1847","“Indeed, he did,” I answered, “for he was a good and generous man.” But the second humpback was not like Lusmore."
c08,"November 4, 1847",This is because the wind blew from the north and gusted the snow.
c06,"September 1, 1847","She told me never to guess how a thing is done or where an item goes, but to ask instead."
c05,"August 1, 1847",I asked permission to go to the nearby square where Connor had said that he and Michael used to meet.
c05,"August 1, 1847","When I said yes, she looked at me for a moment and said I would be better off using my book for reflecting on my own life rather than noting down gossip about ladies like Mrs. Johnson."
c06,"September 1, 1847","She promises to lend me the book when she has finished reading it, although I think by then that I will already know the whole story!"
c08,"November 4, 1847",I hastened back inside.
c06,"September 1, 1847","When I tossed it over my shoulder, it made the letter 
C
, and I thought immediately of Connor."
c03,"June 1, 1847",If only we had not been reduced to this.” Da says “if only” is easy to say but difficult to predict.
c03,"June 1, 1847","But now that he is gone, our berth seems so quiet and empty, and Ma does not seem to know what to do with herself."
c08,"November 4, 1847",She has never been separated from both of them at the same time.
c09,"December 1, 1847",Mr. Fenton seemed pleased with our progress.
c04,"July 3, 1847","“I see,” she said, still in her haughty tone."
c05,"August 1, 1847","“I want to help,” I said."
c02,"May 1, 1847",Fifty folk are said to be dying each day in one county.
c02,"May 1, 1847",So is Ma.
c05,"August 1, 1847","“You are Irish,” she said."
c05,"August 1, 1847",I didn’t know what to say.
c04,"July 3, 1847","I promised to care for him, and now he is gone."
c07,"October 2, 1847","The company pays cash, which Mrs. Lyons says is scarce but is needed to buy certain items."
c07,"October 2, 1847",Her face is as white as Mrs. Lyon’s apron but for the two apple-red fever spots on her little cheeks.
